datetime,closePriceUsd,highPriceUsd,lowPriceUsd,openPriceUsd
2020-01-01 00:00:00+00:00,129.266097393,129.539015589,129.242671556,129.539015589
2020-01-01 01:00:00+00:00,130.522897805,130.690890062,129.246401248,129.246401248
2020-01-01 02:00:00+00:00,130.732169214,130.799687125,130.639852139,130.642435567
2020-01-01 03:00:00+00:00,130.346568967,130.8158136,130.240749419,130.8158136
2020-01-01 04:00:00+00:00,130.272685327,130.544536438,130.2357435,130.395195689
2020-01-01 05:00:00+00:00,130.378213575,130.423681139,130.215230358,130.215230358
2020-01-01 06:00:00+00:00,130.502785037,130.72518808,130.361055889,130.361055889
2020-01-01 07:00:00+00:00,130.359042097,130.649039361,130.334118243,130.560939322
2020-01-01 08:00:00+00:00,130.492373743,130.492373743,130.243474923,130.363854056
2020-01-01 09:00:00+00:00,130.516152499,130.768839911,130.516152499,130.740469432
2020-01-01 10:00:00+00:00,130.722565752,130.780119324,130.414362631,130.414362631
2020-01-01 11:00:00+00:00,130.895894119,131.506681741,130.720707099,130.765726684
2020-01-01 12:00:00+00:00,131.357284082,131.357284082,130.891373965,130.891373965
2020-01-01 13:00:00+00:00,131.962184349,131.962184349,131.382923629,131.468344655
2020-01-01 14:00:00+00:00,132.139591011,132.269581223,131.688835709,131.777605332
2020-01-01 15:00:00+00:00,132.098961527,132.314249744,132.09141526,132.235207524
2020-01-01 16:00:00+00:00,132.451299432,132.451299432,132.024377629,132.24184097
2020-01-01 17:00:00+00:00,132.412314343,132.749999275,132.396420504,132.749999275
2020-01-01 18:00:00+00:00,131.814035237,132.389089661,131.772478878,132.389089661
2020-01-01 19:00:00+00:00,131.963426014,131.963426014,131.787438129,131.957808354
2020-01-01 20:00:00+00:00,132.157528747,132.157528747,131.748628101,131.934739277
2020-01-01 21:00:00+00:00,131.913621235,132.219276027,131.913621235,132.060191667
2020-01-01 22:00:00+00:00,130.451086418,131.752657022,130.328191891,131.752657022
2020-01-01 23:00:00+00:00,130.632217454,130.632217454,130.13681513,130.539140732
2020-01-02 00:00:00+00:00,130.670318046,130.813015431,130.449611156,130.813015431
2020-01-02 01:00:00+00:00,130.231415726,130.692620593,130.202847668,130.692620593
2020-01-02 02:00:00+00:00,129.662217363,130.144838037,129.206387187,130.144838037
2020-01-02 03:00:00+00:00,129.200148094,129.705817864,129.200148094,129.705817864
2020-01-02 04:00:00+00:00,129.465807415,129.562394562,129.047911125,129.166816851
2020-01-02 05:00:00+00:00,129.470141095,129.601822666,129.202868992,129.522466544
2020-01-02 06:00:00+00:00,129.397184601,129.815389624,129.342022698,129.453317899
2020-01-02 07:00:00+00:00,129.421931919,129.474936867,129.217318147,129.455509721
2020-01-02 08:00:00+00:00,130.13765403,130.13765403,129.506230178,129.506230178
2020-01-02 09:00:00+00:00,129.886153979,130.241599057,129.833502361,130.099369905
2020-01-02 10:00:00+00:00,129.996472673,130.129869433,129.910438835,129.910438835
2020-01-02 11:00:00+00:00,129.844249221,129.971234263,129.801007374,129.971234263
2020-01-02 12:00:00+00:00,130.078343046,130.078343046,129.853990709,129.853990709
2020-01-02 13:00:00+00:00,129.692342624,130.251552113,129.566175237,130.13144928
2020-01-02 14:00:00+00:00,129.906207633,129.973463622,129.719684361,129.767517202
2020-01-02 15:00:00+00:00,130.060999322,130.070873843,129.889951544,130.0018924
2020-01-02 16:00:00+00:00,128.741821095,130.066839734,128.741821095,130.066839734
2020-01-02 17:00:00+00:00,127.725018416,128.226626156,127.486957277,128.226626156
2020-01-02 18:00:00+00:00,127.848067832,127.902040976,127.608185002,127.713706252
2020-01-02 19:00:00+00:00,127.89511908,127.925603306,127.643436516,127.925603306
2020-01-02 20:00:00+00:00,127.278718261,127.956944761,127.258119129,127.956944761
2020-01-02 21:00:00+00:00,127.987589523,127.987589523,127.378512406,127.378512406
2020-01-02 22:00:00+00:00,127.699292029,127.903625921,127.6661755,127.903625921
2020-01-02 23:00:00+00:00,127.410182379,127.686050554,127.410182379,127.469022892
2020-01-03 00:00:00+00:00,127.487932566,127.919394709,127.309292137,127.363490699
2020-01-03 01:00:00+00:00,126.560349871,127.58567063,126.560349871,127.58567063
2020-01-03 02:00:00+00:00,127.174900501,127.22186286,126.605275112,126.615520431
2020-01-03 03:00:00+00:00,127.118796629,127.249430181,127.06241172,127.204170885
2020-01-03 04:00:00+00:00,129.313614617,129.313614617,127.227320678,127.243188398
2020-01-03 05:00:00+00:00,129.357862699,129.755832135,129.220678332,129.305116276
2020-01-03 06:00:00+00:00,129.432482681,129.504840716,129.165293546,129.430682774
2020-01-03 07:00:00+00:00,129.43577636,129.810356871,129.428798581,129.542328416
2020-01-03 08:00:00+00:00,132.116113865,132.116113865,129.383752153,129.383752153
2020-01-03 09:00:00+00:00,132.37757521,132.422247267,132.018094495,132.018094495
2020-01-03 10:00:00+00:00,132.062512995,132.658750306,131.990236762,132.658750306
2020-01-03 11:00:00+00:00,132.365304637,132.365788855,132.12177472,132.12177472
