datetime,BTCUSD_close,BTCUSD_high,BTCUSD_low,BTCUSD_open,ETHUSD_close,ETHUSD_high,ETHUSD_low,ETHUSD_open,DOGEUSD_close,DOGEUSD_high,DOGEUSD_low,DOGEUSD_open
2021-01-01,29374.15188907,29594.35158927,28816.444066762197,28994.00891641069,730.36756913,748.88163069,719.79225795,737.7083777778028,0.00568496,0.00568496,0.00461583631369,0.00467808209881
2021-01-02,32127.26793922,33155.118819421725,29115.168570081747,29376.45583414012,774.53496804,786.7521405743627,719.60124785,730.4026732932081,0.01061451,0.01328770120827,0.00559888284238,0.00569382401218
2021-01-03,32782.02446581,34596.0547606818,32055.917694279156,32129.407355601244,975.50767291,1006.5284339814968,771.5616454797407,774.511864974735,0.00977052,0.01375015,0.0094149,0.01052443072046
2021-01-04,31971.91352155,33432.592143811155,28722.75527058,32895.56311756893,1040.23304833,1152.82766392,912.30533777,982.001164161216,0.00976719,0.01133864434033,0.00791094,0.00984037466214
2021-01-05,33992.42934365,34437.590591803695,30261.62619549,32177.46713110628,1100.00609944,1123.10028972,988.1479711359711,1060.279090269242,0.0099204,0.01020328,0.00897584,0.00976688488604
2021-01-06,36824.36441009,36862.67691533132,33570.45123566861,34071.476024177195,1207.11223389,1209.4285477517703,1064.233350833936,1105.078540580315,0.01046514,0.01079124592082,0.00972784,0.01003225253047
2021-01-07,39371.04235311,40114.68232596,36597.310724590985,36842.62458650817,1225.67813488,1282.24960052,1171.98339381,1211.49398901875,0.00974244,0.01052859583051,0.00916241454321,0.01045203573126
2021-01-08,40797.61071993,41941.56454891,36838.63599636845,39389.992699569295,1224.19714489,1273.82750425,1076.0815357726417,1226.0021963459285,0.00984637,0.01026178,0.00898862752157,0.00976181239497
2021-01-09,40254.54649816,41427.55484278,38980.87690625,40741.45594321101,1281.07729102,1300.2834637100125,1184.15114233,1222.3059737485976,0.01019416,0.01074016098677,0.00974038,0.00978897690944
2021-01-10,38356.43950662,41420.19103255,36022.61212982,40254.21779757935,1262.24666381,1346.54244133,1194.71559903,1280.871042751054,0.00985959,0.01085596121103,0.00917681,0.01022336322091
2021-01-11,35566.65594049,38258.17316454735,30568.82111473,38258.17316454735,1090.14537315,1257.3147412125209,924.92258485,1257.3147412125209,0.00883453,0.00981875478889,0.00677014,0.00981875478889
2021-01-12,33922.9605815,36568.52697413702,32791.08129357,35470.64794681023,1043.43458391,1149.24028662,1015.72255832,1087.9253403390346,0.00806287,0.00914451,0.00790473587118,0.008778
2021-01-13,37316.35939997,37599.96059774,32619.52717890885,34017.81750843523,1130.73940242,1133.59576082,999.6311302722406,1049.3977441758077,0.00861635,0.00863776,0.00778985,0.00807041738215
2021-01-14,39187.32812109,39916.52979564674,36868.5632453,37412.38083359764,1218.45297846,1244.16302773,1093.80430836,1130.7274675123765,0.00939673,0.00999574734323,0.00834908,0.00868075024571
2021-01-15,36825.36585131,39569.89666505958,34681.911883294284,39160.79037971,1171.83461074,1250.43798491,1090.8215399767428,1232.31960774,0.00936903,0.0097696,0.00846978,0.00939348
2021-01-16,36178.13890106,37850.18750942,35654.5751849,36821.64873200884,1233.53756838,1287.7812597213797,1162.816270702467,1171.4430604924437,0.00926465,0.00952494,0.00914228227058,0.00936656915046
2021-01-17,35791.27792129,36686.08125474284,34069.32218533,36163.649232430245,1230.17227237,1265.644692988733,1174.38858189,1233.4533584734656,0.00906651,0.00936668355953,0.00884139813481,0.00922982617897
2021-01-18,36630.07568284,37293.90817279,34908.21387433,35792.236667659105,1257.27950247,1258.731371031156,1192.22272453,1230.3132854343005,0.0091711,0.00929433,0.00899157,0.00912338953127
2021-01-19,36069.80639361,37712.36641101,36069.80639361,36642.23272356583,1377.29584154,1431.2483572729811,1254.5229925258875,1257.434542735648,0.0090982,0.00961281,0.00902368,0.00917722226171
2021-01-20,35547.7508855,36376.57621064692,33594.35433511,35910.87562176554,1382.27409433,1405.73199718,1243.2999740439102,1368.3112077606768,0.00906009,0.00915288324191,0.00853094,0.00905384716861
2021-01-21,30825.69850603,35529.43060459345,30330.05516700827,35529.43060459345,1121.57091957,1379.919190812344,1110.69285992,1379.919190812344,0.00816632,0.00908936,0.00806404728087,0.00908936
2021-01-22,33005.76356216,33807.21242335,28953.372750999093,30618.76224941801,1236.51220729,1271.14667711,1046.5965794567037,1107.361339598294,0.0085235,0.00876921,0.00765988,0.00812101
2021-01-23,32067.64288212,33352.211246101244,31514.44340575,32741.768427369367,1230.99063605,1272.15107388,1202.0411988279177,1224.947458997893,0.00857912,0.00880799,0.00838848,0.00849579
2021-01-24,32289.37808687,32938.76632181288,31106.68577002,32022.82917325514,1391.60940757,1394.8390352696313,1225.86722538,1231.668594732615,0.00872708,0.00894847,0.00851582,0.00851582
2021-01-25,32366.39304887,34801.24589925,32159.85516782,32305.821331218754,1324.414778,1466.42072509,1311.59315486,1391.132859675497,0.00838293,0.00887891,0.00827601,0.0086957
2021-01-26,32569.84955679,32794.5495902,31030.26596571,32102.07653413,1357.0581398,1374.9748825239467,1253.3403247949364,1318.42130152,0.00825458,0.00845550384223,0.00802230535232,0.00838200243369
2021-01-27,30432.54707881,32523.758256311343,29370.64444325,32523.758256311343,1253.18713315,1368.07405925,1215.31125838,1367.1808768007984,0.0074815,0.00825911248471,0.00730882,0.00825911248471
2021-01-28,33466.09635821,33858.31099229,30040.67622428,30440.30963534,1332.49224455,1356.285524284389,1228.72436967,1245.97650896,0.03408356,0.03417659384305,0.0073716,0.00748060850836
2021-01-29,34316.38765032,38372.03122081,32064.814186749347,33739.90272711,1382.52281244,1426.31322837,1293.54185321,1338.12704072,0.04716157,0.07797325,0.03316782,0.03444795
2021-01-30,34269.52154165,34825.10971016,33019.0407545,34398.20523832,1376.11553895,1402.13812974,1330.85187026,1386.96012179,0.02817592,0.04980709532202,0.02256411901183,0.04680256402098
2021-01-31,33114.35774753,34271.03573117,32316.802838805477,34103.74931644,1314.9862286,1378.302531015034,1291.7005183,1371.62682919,0.03719621,0.04528851,0.02719349,0.02739877
2021-02-01,33940.89480922,34622.94126956,32387.17789757,32945.66787152,1332.95859544,1341.7613644015846,1274.96888989,1302.86287781,0.04043412016049,0.04325,0.03500801,0.03705358645781
2021-02-02,35510.28903716,35857.523924792455,33567.28926556,33567.28926556,1515.19376962,1542.99094561,1409.7172095995495,1421.69153912,0.03152025,0.03402292128831,0.03046768,0.03208965
2021-02-03,37472.09010368,37472.09010368,35443.982726227434,35510.82121346216,1660.909542,1660.909542,1510.1296078403388,1514.7696231683542,0.03712003,0.03898548495411,0.03114623,0.03139155910147
2021-02-04,36926.06446515,38548.92532993,36329.44018555482,37683.91979380173,1594.76269414,1687.6254598494052,1561.85349322,1668.7794529760547,0.05328933,0.05770455,0.03595057,0.03722574045703
2021-02-05,38144.30686267,38205.43651938,36698.07726897,36939.483046829366,1718.65087218,1755.6126489957326,1597.359649552062,1598.0497960759983,0.04693473,0.05367860877415,0.04353977,0.04997774
2021-02-06,39266.01073494,40815.56409798032,38195.58095638666,38195.58095638666,1677.84684697,1737.8798437820872,1650.1648222,1716.1612579183309,0.05759472,0.05826061,0.04509529,0.04680439003127
2021-02-07,38903.44147971,39620.66290216,37446.15388489,38963.16712796343,1614.22782334,1690.03665184,1501.75027529,1674.6453298158292,0.07878179,0.08416813612673,0.05431356,0.05750160886006
