datetime,btc_adjusted,bitcoin_adjusted,eth_adjusted,ethereum_adjusted,doge_adjusted,dogecoin_adjusted
2021-01-01,37.71535438876096,28.64214273387997,22.5956859009156,15.060885022446099,2.0123797352298407,0.41821707129400887
2021-01-02,60.547519601688,47.591569718238496,31.190363973656503,21.83322929428428,5.907308255029533,3.839232714479001
2021-01-03,73.40118298081731,60.03446779115357,58.49926043059131,41.30793073270452,6.145331664572847,3.9019652751731027
2021-01-04,59.87101100278647,49.40266539461967,73.74788281771228,51.61806678833876,3.527074159596387,1.660321773037215
2021-01-05,46.39157716967324,40.91734676268567,53.89694894647844,38.6208936397737,2.8199282483349766,0.9805337461402065
2021-01-06,54.74645836610728,45.88109046832295,57.26550825563335,42.571427798345965,2.5291069188565993,0.9767221475157548
2021-01-07,77.1727184196934,65.28888117324708,65.00071852110015,49.9123457497228,2.767995868070981,0.9557583550812704
2021-01-08,73.65487370540538,66.94346240845951,56.26741660847634,48.05500506322986,2.9082132947837693,1.0053091371991427
2021-01-09,57.82457249110929,51.87335764449769,49.28077507837728,39.18104400554141,3.5989139522949154,1.2835558367841189
2021-01-10,58.0444377857523,51.0718661106006,63.14014550493248,47.33043809212548,2.862401516479459,1.0059825196227958
2021-01-11,86.05894074484803,75.09081304380385,57.82422260159623,47.02655084915839,2.7130959232204708,0.8215265568568287
2021-01-12,62.47838789438616,57.561195632904635,46.432959237304296,35.32689199492512,2.3718259957713554,0.5952192411943816
2021-01-13,50.99042624928934,49.597018491895135,38.07936610349021,29.65433012620596,2.047619564694695,0.5115165354014216
2021-01-14,52.60277174333802,51.11400461399218,45.23958878961657,30.641963665849026,2.4955363444716596,0.6858971724700881
2021-01-15,50.62290632049884,44.03473604420596,39.432885832036455,28.320602782072584,2.3876485105894503,0.6463940298107518
2021-01-16,43.62817219190532,37.00791646268374,36.71034805744151,26.758960005713888,2.396257820122826,0.4830141214885066
2021-01-17,40.78285661417237,34.172533122771256,34.25128168038801,24.564218806507075,2.132238994432646,0.40310556819694127
2021-01-18,37.226212142006176,31.92888195814486,32.758277094319816,21.841895588260154,1.9571830339206793,0.39343510633363077
2021-01-19,35.09222545870646,31.70698239241258,59.01759304928396,38.02811193241043,2.252769327899902,0.42295546360057845
2021-01-20,35.695777247922535,30.53458786144611,46.36083245200448,32.38993881893234,2.208287895310796,0.3948328792973771
2021-01-21,44.10239145486082,37.31133015460338,40.956290963974816,30.922301565966247,1.9765539803707741,0.4009861189747388
2021-01-22,50.05168766284791,41.75938494161781,37.57845253395627,29.9846444321268,2.0369216388845612,0.4177366047631125
2021-01-23,35.56644472166195,29.487986735089773,33.440600457183564,23.6044991518714,2.0972892973983486,0.3442395752835141
2021-01-24,32.85046167018958,26.50517352497421,38.33846618071045,27.02898607545896,2.2394453964792023,0.35688790128697984
2021-01-25,33.432458038362235,28.648880366923844,48.55642743151654,34.35739926116961,2.2900763358778624,0.46764621547949087
2021-01-26,29.401594303240547,26.80880954942294,39.86823723892077,27.815020867525085,2.2900763358778624,0.5261019924144272
2021-01-27,32.83968395966787,28.597767288659938,36.37672155404583,25.277371066353872,2.5763358778625953,0.5845577693493635
2021-01-28,33.90667730131773,29.901150784389742,35.239949005481904,26.42724363250958,23.66412213740458,15.354384074909952
2021-01-29,54.653770055620534,47.1773712375927,45.30850586419102,32.355034964932955,100.0,78.64250523646771
2021-01-30,37.70043140496167,34.04131012376678,35.61887318833655,26.708403695707528,38.961832061068705,29.573946666923
2021-01-31,33.432458038362235,28.405582114387617,33.778384300185415,24.945385914808607,22.595419847328245,16.5024555339121
2021-02-01,32.63221303212484,28.689259698752334,33.2370640389645,22.103506506792435,18.076335877862597,13.578887276806148
2021-02-02,31.743051914083292,27.006106031521647,48.50229540539445,31.181732393510753,11.603053435114504,7.9008828105259985
2021-02-03,34.58836749181625,28.764907054582928,61.60224572694071,44.52277739225333,10.01526717557252,6.402856100273363
2021-02-04,36.81127028692012,29.299003472042028,61.60224572694071,43.99650342780589,27.969465648854957,21.52809352959836
2021-02-05,32.924365970909925,26.622652193345882,54.02376206984783,38.04960762954984,16.610687022900763,14.080242990318117
2021-02-06,42.29866461540511,32.25707593796935,53.69896991311527,40.25995828022908,14.16793893129771,12.449326813833395
2021-02-07,36.58262885656657,28.688607566374486,51.75021697271996,37.78647064732611,30.53435114503817,25.19765492668899
2021-02-08,59.67541332227423,57.095493945517795,55.86425095799896,40.7072911500094,29.557251908396946,25.469474289436445
2021-02-09,74.2045369420129,76.01976504381608,60.194813047766324,47.684806795308354,19.664122137404576,17.694433776478714
2021-02-10,53.90741360199171,50.125392089801856,53.26591370413855,40.872691538835724,13.984732824427478,12.040591031331669
2021-02-11,48.66944628843786,45.270197160924184,47.52791893519678,34.580585080567126,10.992366412213741,9.737173616642131
2021-02-12,48.66944628843786,44.68577554911484,48.50229540539444,36.062610155448574,11.114503816793892,8.834129289292257
2021-02-13,42.12198714649554,36.818561543988984,45.903958151534034,35.412599157693556,9.038167938931299,6.740113457756314
2021-02-14,43.79522670499191,40.69672341927769,46.66180651724331,34.476583320926316,8.036641221374046,7.577468105775553
2021-02-15,41.58849047567062,41.103321019288636,45.79569409928985,33.722570563530496,8.842748091603053,8.885724631295245
2021-02-16,47.19020551933237,45.9085653830544,43.197356845429425,32.60455164739186,7.596946564885496,7.079635976595496
2021-02-17,53.3011673851452,52.63590749232646,46.55354246499913,34.24257936173451,6.741984732824427,6.176591649245619
2021-02-18,48.71794598578558,47.60888261946381,57.163419584929166,39.70267174287669,7.083969465648855,6.176591649245619
