datetime,BTCUSD_close,BTCUSD_high,BTCUSD_low,BTCUSD_open,ETHUSD_close,ETHUSD_high,ETHUSD_low,ETHUSD_open,DOGEUSD_close,DOGEUSD_high,DOGEUSD_low,DOGEUSD_open
2021-01-01 00:00:00,29032.31197892,29032.31197892,28816.444066762197,28994.00891641069,735.93414734,738.47574609,731.1575896843267,737.7083777778028,0.00469252,0.00469252,0.00461583631369,0.00467808209881
2021-01-01 01:00:00,29411.56662907,29458.73806276571,29027.82899228025,29027.82899228025,747.85851446,748.88163069,735.3597737,735.7932149508922,0.0047386,0.00475062,0.00469038329554,0.00469038329554
2021-01-01 02:00:00,29228.78943542,29422.38170397,29228.302194605876,29422.38170397,745.07731309,748.63432433,744.3192934633588,748.63432433,0.00474998,0.00475180599265,0.00472958,0.00473211
2021-01-01 03:00:00,29330.33370656,29335.01013834,29230.39116200651,29253.77439827,746.31993748,747.38710397,745.18221304,745.18221304,0.00497751,0.00497751,0.00475132739658,0.00475153
2021-01-01 04:00:00,29252.20151085,29391.26768366,29178.97329009,29336.44037037,743.21070045,747.0903902305082,741.78617105,745.90173389,0.00492669,0.00498595,0.00482069,0.00497673800939
2021-01-01 05:00:00,29198.92417566,29250.03199414686,29161.20614994,29250.03199414686,741.68622777,743.6593783729782,741.13391474,743.6593783729782,0.00492739,0.00492739,0.0048661,0.00489906068838
2021-01-01 06:00:00,29170.22038848,29275.23322694394,29164.71598544,29222.822783333177,739.94265277,743.4422343017211,738.73111763,742.1470135654026,0.0048565,0.00496341,0.00484377,0.00495072087647
2021-01-01 07:00:00,29131.01394557,29207.472413142743,28999.697573208938,29206.8054923,738.30256039,741.0635012578863,736.8238017635682,740.94210633,0.00486685,0.00486709812156,0.00481687,0.00486153
2021-01-01 08:00:00,29087.36991297,29157.39087566,28956.307145700623,29157.39087566,731.64206058,738.90923905,730.1748081135026,738.90923905,0.00488581,0.00489443,0.00482174180093,0.00486689990813
2021-01-01 09:00:00,29233.94183771,29288.40663342,29099.15387859,29099.153878590703,734.64012216,734.9718172,732.61662571,732.6166257101064,0.00483178,0.00489945327814,0.00481953,0.00489823
2021-01-01 10:00:00,29295.99535862,29337.11802238,29226.51448734,29232.682131422127,738.13770909,739.01007933,734.6511324499661,734.6511324499661,0.00485064,0.00485466,0.00481044,0.00482422576977
