,date,transactions,block_size,sent_addresses,difficulty,hashrate,mining_profitability,send_usd,av_transaction_size,median_transaction_size,confirmation_time,market_cap,av_transaction_value,median_transaction_value,tweets,google_trends,active_addresses,top_100_percent,fee_reward,full_name,coin
38,2015/09/06,5521,733.459,965,6305025872317,388433114376,0.0899,394976,0.00195,0.0014,0.289,97387902,71.541,2.904,,0.157,2292,,0.0295,ethereum,eth
39,2015/09/07,5702,752.6,969,6339141092888,379841573552,0.0861,260082,0.00208,0.00135,0.298,93833617,45.612,2.551,,0.242,2386,,0.0349,ethereum,eth
40,2015/09/08,5622,759.387,1003,6077004932539,370785471097,0.0875,330406,0.00231,0.00132,0.293,91586968,58.77,2.893,,0.125,2415,,0.0384,ethereum,eth
41,2015/09/09,5604,764.624,980,6202066849532,386137579875,0.084,1406427,0.00216,0.00129,0.286,89748325,250.968,2.455,,0.154,2338,,0.0357,ethereum,eth
42,2015/09/10,5341,729.94,989,6289587949043,392080890204,0.0803,245338,0.00177,0.00125,0.288,87112290,45.935,2.701,,0.225,2322,,0.0286,ethereum,eth
43,2015/09/11,6460,735.909,1088,6561787910853,421668550189,0.068,764475,0.00145,0.0011,0.28,77004144,118.34,2.12,,0.177,2592,,0.0311,ethereum,eth
44,2015/09/12,5596,761.423,942,6832639915712,424171784402,0.0639,223316,0.00208,0.00108,0.287,75075901,39.906,2.059,,0.137,2307,,0.0413,ethereum,eth
45,2015/09/13,6057,763.561,954,7022050607216,432689994307,0.0595,220316,0.00155,0.00103,0.29,71961682,36.374,1.507,,0.163,2361,,0.0352,ethereum,eth
46,2015/09/14,5572,771.17,1013,6626273317244,399653850867,0.0579,241561,0.00161,0.000948,0.297,66166427,43.353,1.81,,0.163,2471,,0.0372,ethereum,eth
47,2015/09/15,5409,755.325,906,6418523305692,387803268389,0.0607,554082,0.00143,0.000964,0.297,67283481,102.437,1.836,,0.22,2198,,0.0315,ethereum,eth
48,2015/09/16,5872,738.598,920,6179108814558,383930083752,0.0633,512374,0.00238,0.000969,0.291,67639823,87.257,1.825,,0.235,2238,,0.0439,ethereum,eth
49,2015/09/17,5368,753.392,982,6040422718682,362139920117,0.0618,260127,0.0014,0.000924,0.3,64499188,48.459,2.243,,0.233,2274,,0.0322,ethereum,eth
50,2015/09/18,5802,784.676,891,5652727817263,346369552396,0.0647,352843,0.00176,0.000908,0.295,63467947,60.814,1.733,,0.152,2143,,0.0437,ethereum,eth
51,2015/09/19,5205,734.69,840,5548291301468,357412908757,0.0646,331949,0.0013,0.000892,0.284,62340381,63.775,1.614,,0.125,2030,,0.0279,ethereum,eth
52,2015/09/20,6402,765.962,904,6202288372044,408789286949,0.0611,117427,0.00153,0.000937,0.271,65517880,18.342,1.452,,0.095,2205,,0.0375,ethereum,eth
53,2015/09/21,6305,778.834,988,6541475961495,410003700797,0.0601,145749,0.00149,0.00097,0.284,67866617,23.116,1.312,,0.18,2310,,0.0367,ethereum,eth
54,2015/09/22,6804,806.983,1001,6624026779678,410100833217,0.0576,174161,0.0015,0.00094,0.285,65733638,25.597,1.031,,0.152,2355,,0.0416,ethereum,eth
55,2015/09/23,7404,784.06,969,6895375007165,438890619973,0.0552,117144,0.00129,0.000938,0.279,65662693,15.822,1.083,,0.181,2686,,0.038,ethereum,eth
56,2015/09/24,6224,781.651,1004,7029217239892,436218902912,0.0523,265040,0.00143,0.000907,0.287,63525490,42.584,1.693,,0.154,2427,,0.0375,ethereum,eth
57,2015/09/25,5851,767.053,974,6977082570625,443478115526,0.047,510783,0.0013,0.00081,0.281,56734219,87.298,1.571,,0.143,2339,,0.035,ethereum,eth
58,2015/09/26,5907,764.729,890,7226850619904,440625930565,0.0432,184399,0.00115,0.00077,0.292,53974264,31.217,1.274,,0.152,2176,,0.0345,ethereum,eth
59,2015/09/27,5760,724.726,907,7252906515025,426457256785,0.0438,285722,0.00109,0.000784,0.302,54915805,49.605,1.287,,0.128,2176,,0.0322,ethereum,eth
60,2015/09/28,6123,755.213,1003,6747096187571,391416619823,0.0414,467733,0.000992,0.000688,0.304,48243128,76.39,1.311,,0.172,2380,,0.0361,ethereum,eth
61,2015/09/29,5738,762.181,962,6057282503508,347260201937,0.0433,249405,0.000955,0.000648,0.31,45438367,43.465,1.241,,0.221,2267,,0.035,ethereum,eth
62,2015/09/30,5870,741.895,924,5625252282980,332846785960,0.0506,342320,0.000959,0.000705,0.303,49470592,58.317,1.441,,0.19,2223,,0.032,ethereum,eth
63,2015/10/01,6421,740.884,947,5652882534059,365320370591,0.0523,374957,0.000951,0.000731,0.276,51311764,58.395,1.395,,0.0883,2188,,0.0306,ethereum,eth
64,2015/10/02,6063,773.068,857,5981731817267,378477872389,0.0481,100598,0.00109,0.00071,0.28,49826020,16.592,1.247,,0.172,2063,,0.0349,ethereum,eth
65,2015/10/03,6112,768.651,890,6290812311295,390965346687,0.0469,85145,0.00111,0.000727,0.284,51062655,13.931,1.213,,0.148,2084,,0.0356,ethereum,eth
66,2015/10/04,6624,775.841,872,6205739662281,371097040216,0.0464,187376,0.000961,0.000709,0.295,49807595,28.287,0.82,,0.184,2082,,0.0356,ethereum,eth
67,2015/10/05,6279,771.409,871,6284591115849,385593881655,0.0448,108258,0.00121,0.000693,0.287,48740427,17.241,1.244,,0.0823,2128,,0.0424,ethereum,eth
68,2015/10/06,6458,781.023,907,6276470353925,368489379087,0.0423,315022,0.000962,0.000653,0.3,45903656,48.78,0.936,,0.0863,2140,,0.0386,ethereum,eth
69,2015/10/07,7121,808.143,881,5983537715401,366973205024,0.0451,196221,0.00108,0.000664,0.288,46716472,27.555,0.864,,0.16,2129,,0.0451,ethereum,eth
70,2015/10/08,6926,788.719,865,5977784444865,375201688581,0.043,188637,0.00104,0.000632,0.28,44464046,27.236,0.907,,0.144,2050,,0.0431,ethereum,eth
71,2015/10/09,6763,779.338,868,6122631614309,364870086205,0.0457,147020,0.0011,0.000688,0.294,48452062,21.739,1.045,,0.0943,2077,,0.0429,ethereum,eth
72,2015/10/10,6529,777.79,793,6031582042944,360603795392,0.0452,82137,0.00111,0.000671,0.294,47259423,12.58,0.933,,0.146,1942,,0.0425,ethereum,eth
73,2015/10/11,6023,748.198,840,6139498339884,381956474380,0.0436,95980,0.000938,0.000659,0.284,46421856,15.936,0.902,,0.0783,1976,,0.0327,ethereum,eth
74,2015/10/12,6593,787.463,832,6145002740254,386254502402,0.044,171518,0.00103,0.000665,0.28,46846017,26.015,1.224,,0.0843,2025,,0.0386,ethereum,eth
75,2015/10/13,6818,817.953,846,6356692057708,397934772325,0.041,251490,0.00111,0.000642,0.282,45263825,36.886,1.182,,0.234,2175,,0.0446,ethereum,eth
76,2015/10/14,6830,791.168,956,6482464932997,394174872462,0.0373,564439,0.000985,0.000597,0.292,42103752,82.641,0.941,,0.0963,2305,,0.0438,ethereum,eth
77,2015/10/15,6499,824.15,876,6209364513561,372916030147,0.037,430930,0.00156,0.000566,0.292,39901806,66.307,0.849,,0.148,2162,,0.071,ethereum,eth
78,2015/10/16,6795,826.88,882,5814901770906,347004215423,0.0402,197345,0.00171,0.000575,0.295,40598948,29.043,0.745,,0.0664,2167,,0.0804,ethereum,eth
79,2015/10/17,6567,787.892,867,6004201090754,373030407773,0.0382,131326,0.00101,0.000565,0.285,39913138,19.998,0.843,,0.0903,2037,,0.0446,ethereum,eth
80,2015/10/18,6481,812.078,818,5973918932016,362435658041,0.038,97075,0.00108,0.00056,0.291,39518479,14.978,0.779,,0.0823,1995,,0.0489,ethereum,eth
81,2015/10/19,6604,801.908,842,5921606787199,360920293657,0.036,257651,0.000887,0.000526,0.289,37124158,39.014,0.712,,0.0863,2102,,0.0433,ethereum,eth
82,2015/10/20,5897,770.019,837,5834977688133,359406256764,0.0357,245579,0.000957,0.000514,0.289,36323268,41.645,0.987,,0.0803,1961,,0.0421,ethereum,eth
83,2015/10/21,6182,774.136,873,5875656973201,359015928569,0.0322,309238,0.000729,0.000466,0.289,32926205,50.022,0.899,,0.219,2216,,0.0376,ethereum,eth
84,2015/10/22,5979,782.186,849,5734489168580,341132964351,0.0338,282005,0.00101,0.000478,0.298,33809435,47.166,0.926,,0.0923,2022,,0.0503,ethereum,eth
85,2015/10/23,6888,817.524,957,5878810489625,380733704574,0.0396,422541,0.00109,0.000574,0.274,40600776,61.345,1.104,,0.0723,2280,,0.0482,ethereum,eth
86,2015/10/24,6361,770.573,869,6288280683193,400712364373,0.037,54615,0.00092,0.000574,0.278,40632386,8.586,1.101,,0.102,2355,,0.0381,ethereum,eth
87,2015/10/25,5830,750.611,918,6589253417659,415421916600,0.0402,162831,0.000969,0.000653,0.283,46223261,27.93,1.352,,0.146,2224,,0.0327,ethereum,eth
88,2015/10/26,5938,765.488,987,6541039905213,399352419352,0.0415,457568,0.00116,0.000672,0.293,47549069,77.058,1.453,,0.206,2450,,0.0398,ethereum,eth
89,2015/10/27,6784,814.796,1150,6541750115500,423606935733,0.053,1542742,0.00227,0.000856,0.276,60602585,227.409,2.21,,0.244,2588,,0.0661,ethereum,eth
90,2015/10/28,7346,808.039,1167,6845791973688,425217897401,0.0545,861069,0.0013,0.000922,0.29,65364165,117.216,1.598,,0.25,2604,,0.0396,ethereum,eth
91,2015/10/29,7836,814.38,1269,7040083960188,457118050623,0.0645,554330,0.00171,0.00112,0.279,79688010,70.741,2.159,,0.339,2951,,0.0437,ethereum,eth
92,2015/10/30,7941,780.948,1315,7428610213549,485181790381,0.065,1374247,0.00193,0.00119,0.275,84609837,173.057,2.299,,0.307,3278,,0.0466,ethereum,eth
93,2015/10/31,7557,811.936,1222,7792887089971,512482245181,0.0522,266091,0.00197,0.00101,0.281,71703838,35.211,1.949,,0.226,3029,,0.0533,ethereum,eth
94,2015/11/01,6915,783.497,1157,7780658217194,520751967660,0.0516,138582,0.00223,0.001,0.279,70959770,20.041,2.25,,0.284,3122,,0.0545,ethereum,eth
95,2015/11/02,6558,779.184,1332,7689750130444,494438532536,0.0581,372411,0.00168,0.00111,0.287,78888766,56.787,2.967,,0.218,3128,,0.0365,ethereum,eth
96,2015/11/03,7399,844.058,1249,7332785272894,480200507887,0.0572,592072,0.00165,0.00104,0.283,74181046,80.021,2.282,,0.263,3131,,0.0421,ethereum,eth
97,2015/11/04,7037,762.327,1241,7742586663680,508443346288,0.0509,751690,0.00125,0.00098,0.281,69632890,106.82,2.565,,0.281,3036,,0.0322,ethereum,eth
98,2015/11/05,7498,813.395,1288,7582489324903,489331291050,0.052,321009,0.00132,0.000979,0.282,69601075,42.813,1.934,,0.203,2951,,0.0371,ethereum,eth
99,2015/11/06,7882,812.018,1241,7592232261293,491429618713,0.0501,842305,0.00182,0.000943,0.28,67023211,106.864,1.129,,0.206,2822,,0.0561,ethereum,eth
100,2015/11/07,10996,1005,1176,7549914589721,478048414470,0.0509,387719,0.00266,0.000956,0.293,67972997,35.26,0.0891,,0.186,3061,,0.114,ethereum,eth
101,2015/11/08,12413,1015,1188,7709287701831,498826132097,0.0523,855879,0.00227,0.001,0.287,71305913,68.95,0.183,,0.239,3291,,0.104,ethereum,eth
102,2015/11/09,7689,785.936,1342,7754098317251,496545107608,0.0563,978170,0.00151,0.00108,0.287,77194959,127.217,2.101,,0.269,3120,,0.0397,ethereum,eth
103,2015/11/10,8151,833.809,1270,7760001726241,505390345518,0.0535,877248,0.00185,0.00103,0.285,73595557,107.625,1.664,,0.239,2908,,0.0538,ethereum,eth
104,2015/11/11,10217,1044,1260,7673240442434,509043487357,0.0464,255482,0.00191,0.00089,0.286,63393485,25.006,0.9,,0.332,3150,,0.0798,ethereum,eth
105,2015/11/12,9534,874.056,1215,7746194157636,517330958183,0.0462,239201,0.00231,0.000894,0.284,63699728,25.089,1.04,,0.335,2852,,0.0875,ethereum,eth
106,2015/11/13,7891,807.736,1194,7870061343233,528346135781,0.047,410621,0.00163,0.000925,0.281,65930206,52.037,1.556,,0.263,2815,,0.0493,ethereum,eth
107,2015/11/14,7211,937.52,1240,7913167398563,534865998776,0.0473,252871,0.00229,0.000936,0.281,66755819,35.067,1.897,,0.102,2869,,0.0617,ethereum,eth
108,2015/11/15,7170,797.41,1219,8259505404948,550254722975,0.0461,158388,0.00145,0.000947,0.277,67575244,22.09,1.985,,0.126,2828,,0.0388,ethereum,eth
109,2015/11/16,7442,782.024,1272,8327053098273,541283940502,0.0462,398111,0.00126,0.000959,0.286,68417237,53.495,1.987,,0.218,2936,,0.0358,ethereum,eth
110,2015/11/17,7145,762.229,1306,8153082615467,535672271869,0.0493,1098762,0.00128,0.000997,0.279,71167451,153.781,2.127,,0.287,2996,,0.0331,ethereum,eth
111,2015/11/18,7373,773.782,1304,8549643854787,550612437839,0.0485,194795,0.00137,0.00103,0.284,73394824,26.42,2.036,,0.111,2955,,0.0364,ethereum,eth
112,2015/11/19,8876,881.903,1280,8806541779358,552743812355,0.047,268255,0.00175,0.00103,0.289,73320579,30.222,1.29,,0.227,2951,,0.0579,ethereum,eth
113,2015/11/20,6348,814.181,1068,7974988114890,472848994780,0.0492,180028,0.00175,0.000971,0.305,69425232,28.36,1.85,,0.272,2672,,0.0461,ethereum,eth
114,2015/11/21,6822,831.781,1097,7600545692812,480042302797,0.0529,127060,0.00156,0.000995,0.286,71124011,18.625,2.007,,0.126,2621,,0.0406,ethereum,eth
115,2015/11/22,7083,815.508,1027,7533348659094,480238901991,0.0545,248371,0.00154,0.00102,0.285,72841664,35.066,1.757,,0.0628,2865,,0.0402,ethereum,eth
116,2015/11/23,8260,862.724,1137,7566020050684,487941982010,0.0535,654872,0.00154,0.001,0.283,71855133,79.282,1.582,,0.242,2681,,0.0473,ethereum,eth
117,2015/11/24,7152,828.424,1127,7664566213246,486567873808,0.0516,368237,0.0017,0.000982,0.288,70293728,51.487,1.964,,0.248,2788,,0.0465,ethereum,eth
118,2015/11/25,7098,806.983,1123,7516847539837,470159496207,0.0495,165516,0.00154,0.000923,0.291,66056551,23.319,1.757,,0.218,2687,,0.0452,ethereum,eth
119,2015/11/26,7278,784.114,1140,7497611770240,470861416175,0.0488,840745,0.00111,0.000909,0.291,65130018,115.519,1.732,,0.221,2802,,0.0336,ethereum,eth
120,2015/11/27,6639,789.858,1030,7469695245892,492944670594,0.0497,596935,0.00124,0.000923,0.278,66125858,89.913,1.703,,0.206,2550,,0.0323,ethereum,eth
121,2015/11/28,6817,773.888,1047,7720770634161,498720992634,0.0491,108655,0.00192,0.000945,0.288,67744812,15.939,2.142,,0.0449,2578,,0.0512,ethereum,eth
122,2015/11/29,6853,776.257,1078,7721488856046,500380846291,0.0485,168911,0.00118,0.000932,0.285,66804209,24.648,1.822,,0.0987,2601,,0.0319,ethereum,eth
123,2015/11/30,8986,863.696,1006,7780837709728,503871991566,0.0473,205168,0.00202,0.0011,0.283,65573015,22.832,1.043,,0.0927,2624,,0.0729,ethereum,eth
124,2015/12/01,6794,847.263,982,7873489340192,514321990762,0.0467,194314,0.00168,0.000914,0.284,65599053,28.601,1.827,,0.191,2584,,0.0455,ethereum,eth
125,2015/12/02,6502,819.216,938,7817999751936,481807290452,0.0457,249197,0.00149,0.000888,0.299,63716758,38.326,1.717,,0.076,2487,,0.0422,ethereum,eth
126,2015/12/03,6971,778.217,1000,7588315518792,504306948388,0.0453,179900,0.00124,0.000854,0.277,61284569,25.807,1.774,,0.28,2600,,0.0364,ethereum,eth
127,2015/12/04,6898,803.623,965,7833023569691,493198143647,0.0443,137546,0.00147,0.00086,0.288,61770168,19.94,1.611,,0.119,2520,,0.0448,ethereum,eth
128,2015/12/05,6784,835.367,994,8163740698470,511916968889,0.0439,121754,0.00163,0.000888,0.288,63807968,17.947,1.641,,0.173,2540,,0.0475,ethereum,eth
129,2015/12/06,9103,876.782,1314,7852114986499,487659801017,0.0461,204912,0.00161,0.000899,0.293,64607761,22.51,1.187,,0.189,2965,,0.0628,ethereum,eth
130,2015/12/07,7141,774.721,1290,7648250416399,483667889043,0.0448,366235,0.00109,0.000851,0.29,61211538,51.286,1.74,,0.199,2920,,0.0346,ethereum,eth
131,2015/12/08,6697,771.015,1120,7547985307949,469523295122,0.0446,141185,0.00109,0.000836,0.293,60118809,21.082,1.631,,0.215,2680,,0.0334,ethereum,eth
132,2015/12/09,7001,778.873,1107,7350171617029,494321277216,0.0455,194539,0.00115,0.000833,0.276,59959581,27.787,1.684,,0.226,2688,,0.0342,ethereum,eth
133,2015/12/10,7444,820.142,1093,7772755103816,504825004080,0.0444,176889,0.00124,0.000857,0.28,61653653,23.763,1.493,,0.172,2698,,0.0397,ethereum,eth
