date,sand,sandbox,isPartial
2021-03-10 23:00:00,79,13,False
2021-03-11 00:00:00,84,10,False
2021-03-11 01:00:00,84,7,False
2021-03-11 02:00:00,93,8,False
2021-03-11 03:00:00,80,7,False
2021-03-11 04:00:00,74,11,False
2021-03-11 05:00:00,71,9,False
2021-03-11 06:00:00,61,7,False
2021-03-11 07:00:00,57,8,False
2021-03-11 08:00:00,51,7,False
2021-03-11 09:00:00,47,6,False
2021-03-11 10:00:00,49,8,False
2021-03-11 11:00:00,49,7,False
2021-03-11 12:00:00,50,4,False
2021-03-11 13:00:00,57,7,False
2021-03-11 14:00:00,54,6,False
2021-03-11 15:00:00,57,7,False
2021-03-11 16:00:00,68,6,False
2021-03-11 17:00:00,65,8,False
2021-03-11 18:00:00,69,10,False
2021-03-11 19:00:00,75,7,False
2021-03-11 20:00:00,76,11,False
2021-03-11 21:00:00,73,9,False
2021-03-11 22:00:00,70,5,False
2021-03-11 23:00:00,75,12,False
2021-03-12 00:00:00,77,13,False
2021-03-12 01:00:00,63,7,False
2021-03-12 02:00:00,77,8,False
2021-03-12 03:00:00,75,8,False
2021-03-12 04:00:00,60,7,False
2021-03-12 05:00:00,58,6,False
2021-03-12 06:00:00,63,9,False
2021-03-12 07:00:00,63,6,False
2021-03-12 08:00:00,57,9,False
2021-03-12 09:00:00,56,7,False
2021-03-12 10:00:00,50,8,False
2021-03-12 11:00:00,54,5,False
2021-03-12 12:00:00,62,5,False
2021-03-12 13:00:00,57,7,False
2021-03-12 14:00:00,65,8,False
2021-03-12 15:00:00,66,7,False
2021-03-12 16:00:00,65,6,False
2021-03-12 17:00:00,71,10,False
2021-03-12 18:00:00,75,4,False
2021-03-12 19:00:00,70,8,False
2021-03-12 20:00:00,69,5,False
2021-03-12 21:00:00,79,10,False
2021-03-12 22:00:00,76,3,False
2021-03-12 23:00:00,72,3,False
2021-03-13 00:00:00,74,10,False
2021-03-13 01:00:00,74,13,False
2021-03-13 02:00:00,73,9,False
2021-03-13 03:00:00,86,5,False
2021-03-13 04:00:00,79,10,False
2021-03-13 05:00:00,95,6,False
2021-03-13 06:00:00,73,5,False
2021-03-13 07:00:00,59,8,False
2021-03-13 08:00:00,64,9,False
2021-03-13 09:00:00,47,5,False
2021-03-13 10:00:00,54,8,False
2021-03-13 11:00:00,53,6,False
2021-03-13 12:00:00,65,6,False
2021-03-13 13:00:00,60,6,False
2021-03-13 14:00:00,64,5,False
2021-03-13 15:00:00,75,4,False
2021-03-13 16:00:00,67,6,False
2021-03-13 17:00:00,73,9,False
2021-03-13 18:00:00,76,8,False
2021-03-13 19:00:00,76,9,False
2021-03-13 20:00:00,83,5,False
2021-03-13 21:00:00,89,7,False
2021-03-13 22:00:00,100,11,False
2021-03-13 23:00:00,82,10,False
2021-03-14 00:00:00,80,8,False
2021-03-14 01:00:00,81,9,False
2021-03-14 02:00:00,86,4,False
2021-03-14 03:00:00,79,7,False
2021-03-14 04:00:00,74,11,False
2021-03-14 05:00:00,70,9,False
2021-03-14 06:00:00,57,8,False
2021-03-14 07:00:00,55,2,False
2021-03-14 08:00:00,55,6,False
2021-03-14 09:00:00,55,3,False
2021-03-14 10:00:00,64,10,False
2021-03-14 11:00:00,45,4,False
2021-03-14 12:00:00,60,10,False
2021-03-14 13:00:00,63,6,False
2021-03-14 14:00:00,67,8,False
2021-03-14 15:00:00,67,7,False
2021-03-14 16:00:00,67,8,False
2021-03-14 17:00:00,61,8,False
2021-03-14 18:00:00,77,9,False
2021-03-14 19:00:00,62,9,False
2021-03-14 20:00:00,85,9,False
2021-03-14 21:00:00,75,5,False
2021-03-14 22:00:00,94,8,False
2021-03-14 23:00:00,77,12,False
2021-03-15 00:00:00,97,10,False
2021-03-15 01:00:00,85,6,False
2021-03-15 02:00:00,89,10,False
2021-03-15 03:00:00,90,8,False
2021-03-15 04:00:00,77,6,False
2021-03-15 05:00:00,66,10,False
2021-03-15 06:00:00,66,6,False
2021-03-15 07:00:00,58,4,False
2021-03-15 08:00:00,48,4,False
2021-03-15 09:00:00,63,5,False
2021-03-15 10:00:00,59,7,False
2021-03-15 11:00:00,53,4,False
2021-03-15 12:00:00,54,6,False
2021-03-15 13:00:00,52,7,False
2021-03-15 14:00:00,55,4,False
2021-03-15 15:00:00,67,6,False
2021-03-15 16:00:00,65,8,False
2021-03-15 17:00:00,62,9,False
2021-03-15 18:00:00,69,8,False
2021-03-15 19:00:00,70,5,False
2021-03-15 20:00:00,73,5,False
2021-03-15 21:00:00,71,5,False
2021-03-15 22:00:00,74,7,False
2021-03-15 23:00:00,82,7,False
