date,sand,sandbox,isPartial
2020-08-27 23:00:00,62,7,False
2020-08-28 00:00:00,77,3,False
2020-08-28 01:00:00,73,7,False
2020-08-28 02:00:00,67,6,False
2020-08-28 03:00:00,77,4,False
2020-08-28 04:00:00,57,7,False
2020-08-28 05:00:00,47,6,False
2020-08-28 06:00:00,41,5,False
2020-08-28 07:00:00,51,3,False
2020-08-28 08:00:00,48,4,False
2020-08-28 09:00:00,52,3,False
2020-08-28 10:00:00,48,5,False
2020-08-28 11:00:00,56,5,False
2020-08-28 12:00:00,47,7,False
2020-08-28 13:00:00,59,5,False
2020-08-28 14:00:00,60,6,False
2020-08-28 15:00:00,58,8,False
2020-08-28 16:00:00,60,5,False
2020-08-28 17:00:00,66,6,False
2020-08-28 18:00:00,69,5,False
2020-08-28 19:00:00,67,5,False
2020-08-28 20:00:00,67,9,False
2020-08-28 21:00:00,72,4,False
2020-08-28 22:00:00,71,5,False
2020-08-28 23:00:00,85,6,False
2020-08-29 00:00:00,77,5,False
2020-08-29 01:00:00,81,5,False
2020-08-29 02:00:00,65,4,False
2020-08-29 03:00:00,59,7,False
2020-08-29 04:00:00,72,4,False
2020-08-29 05:00:00,57,5,False
2020-08-29 06:00:00,56,4,False
2020-08-29 07:00:00,50,1,False
2020-08-29 08:00:00,48,8,False
2020-08-29 09:00:00,58,4,False
2020-08-29 10:00:00,40,3,False
2020-08-29 11:00:00,51,3,False
2020-08-29 12:00:00,51,4,False
2020-08-29 13:00:00,58,4,False
2020-08-29 14:00:00,59,4,False
2020-08-29 15:00:00,63,4,False
2020-08-29 16:00:00,67,5,False
2020-08-29 17:00:00,66,5,False
2020-08-29 18:00:00,66,4,False
2020-08-29 19:00:00,72,4,False
2020-08-29 20:00:00,83,6,False
2020-08-29 21:00:00,72,5,False
2020-08-29 22:00:00,67,5,False
2020-08-29 23:00:00,81,7,False
2020-08-30 00:00:00,80,7,False
2020-08-30 01:00:00,83,5,False
2020-08-30 02:00:00,82,5,False
2020-08-30 03:00:00,83,5,False
2020-08-30 04:00:00,61,4,False
2020-08-30 05:00:00,58,6,False
2020-08-30 06:00:00,58,5,False
2020-08-30 07:00:00,58,2,False
2020-08-30 08:00:00,45,3,False
2020-08-30 09:00:00,48,3,False
2020-08-30 10:00:00,54,6,False
2020-08-30 11:00:00,48,2,False
2020-08-30 12:00:00,46,6,False
2020-08-30 13:00:00,61,4,False
2020-08-30 14:00:00,57,5,False
2020-08-30 15:00:00,61,6,False
2020-08-30 16:00:00,66,4,False
2020-08-30 17:00:00,71,3,False
2020-08-30 18:00:00,64,4,False
2020-08-30 19:00:00,76,5,False
2020-08-30 20:00:00,81,4,False
2020-08-30 21:00:00,100,7,False
2020-08-30 22:00:00,93,8,False
2020-08-30 23:00:00,95,8,False
2020-08-31 00:00:00,85,7,False
2020-08-31 01:00:00,74,5,False
2020-08-31 02:00:00,68,4,False
2020-08-31 03:00:00,68,4,False
2020-08-31 04:00:00,53,6,False
2020-08-31 05:00:00,45,8,False
2020-08-31 06:00:00,49,6,False
2020-08-31 07:00:00,51,5,False
2020-08-31 08:00:00,44,6,False
2020-08-31 09:00:00,46,5,False
2020-08-31 10:00:00,51,4,False
2020-08-31 11:00:00,44,4,False
2020-08-31 12:00:00,49,5,False
2020-08-31 13:00:00,60,4,False
2020-08-31 14:00:00,54,7,False
2020-08-31 15:00:00,53,6,False
2020-08-31 16:00:00,60,5,False
2020-08-31 17:00:00,62,5,False
2020-08-31 18:00:00,58,3,False
2020-08-31 19:00:00,54,6,False
2020-08-31 20:00:00,71,7,False
2020-08-31 21:00:00,76,7,False
2020-08-31 22:00:00,82,5,False
2020-08-31 23:00:00,86,4,False
2020-09-01 00:00:00,69,2,False
2020-09-01 01:00:00,76,8,False
2020-09-01 02:00:00,76,7,False
2020-09-01 03:00:00,66,6,False
2020-09-01 04:00:00,64,5,False
2020-09-01 05:00:00,50,3,False
2020-09-01 06:00:00,57,4,False
2020-09-01 07:00:00,45,9,False
2020-09-01 08:00:00,43,8,False
2020-09-01 09:00:00,41,7,False
2020-09-01 10:00:00,53,6,False
2020-09-01 11:00:00,48,4,False
2020-09-01 12:00:00,52,4,False
2020-09-01 13:00:00,58,8,False
2020-09-01 14:00:00,61,6,False
2020-09-01 15:00:00,55,6,False
2020-09-01 16:00:00,58,6,False
2020-09-01 17:00:00,62,5,False
2020-09-01 18:00:00,64,7,False
2020-09-01 19:00:00,59,7,False
2020-09-01 20:00:00,69,5,False
2020-09-01 21:00:00,72,11,False
2020-09-01 22:00:00,72,8,False
2020-09-01 23:00:00,61,6,False
