date,sand,sandbox,isPartial
2021-10-06 23:00:00,74,6,False
2021-10-07 00:00:00,73,8,False
2021-10-07 01:00:00,59,5,False
2021-10-07 02:00:00,67,8,False
2021-10-07 03:00:00,67,5,False
2021-10-07 04:00:00,65,7,False
2021-10-07 05:00:00,58,5,False
2021-10-07 06:00:00,44,4,False
2021-10-07 07:00:00,44,7,False
2021-10-07 08:00:00,42,11,False
2021-10-07 09:00:00,51,7,False
2021-10-07 10:00:00,52,9,False
2021-10-07 11:00:00,43,8,False
2021-10-07 12:00:00,50,7,False
2021-10-07 13:00:00,45,9,False
2021-10-07 14:00:00,66,10,False
2021-10-07 15:00:00,56,8,False
2021-10-07 16:00:00,53,9,False
2021-10-07 17:00:00,57,4,False
2021-10-07 18:00:00,63,10,False
2021-10-07 19:00:00,66,11,False
2021-10-07 20:00:00,61,7,False
2021-10-07 21:00:00,64,10,False
2021-10-07 22:00:00,68,7,False
2021-10-07 23:00:00,74,7,False
2021-10-08 00:00:00,72,8,False
2021-10-08 01:00:00,63,13,False
2021-10-08 02:00:00,64,4,False
2021-10-08 03:00:00,58,8,False
2021-10-08 04:00:00,50,6,False
2021-10-08 05:00:00,48,4,False
2021-10-08 06:00:00,42,6,False
2021-10-08 07:00:00,55,8,False
2021-10-08 08:00:00,41,9,False
2021-10-08 09:00:00,53,7,False
2021-10-08 10:00:00,51,8,False
2021-10-08 11:00:00,41,8,False
2021-10-08 12:00:00,48,9,False
2021-10-08 13:00:00,60,6,False
2021-10-08 14:00:00,56,8,False
2021-10-08 15:00:00,54,9,False
2021-10-08 16:00:00,62,6,False
2021-10-08 17:00:00,55,8,False
2021-10-08 18:00:00,69,7,False
2021-10-08 19:00:00,64,12,False
2021-10-08 20:00:00,75,3,False
2021-10-08 21:00:00,76,10,False
2021-10-08 22:00:00,76,6,False
2021-10-08 23:00:00,87,6,False
2021-10-09 00:00:00,69,11,False
2021-10-09 01:00:00,69,6,False
2021-10-09 02:00:00,68,6,False
2021-10-09 03:00:00,62,8,False
2021-10-09 04:00:00,48,6,False
2021-10-09 05:00:00,64,6,False
2021-10-09 06:00:00,60,7,False
2021-10-09 07:00:00,46,9,False
2021-10-09 08:00:00,55,9,False
2021-10-09 09:00:00,51,6,False
2021-10-09 10:00:00,63,9,False
2021-10-09 11:00:00,46,8,False
2021-10-09 12:00:00,51,7,False
2021-10-09 13:00:00,54,5,False
2021-10-09 14:00:00,55,9,False
2021-10-09 15:00:00,62,7,False
2021-10-09 16:00:00,67,6,False
2021-10-09 17:00:00,59,8,False
2021-10-09 18:00:00,69,9,False
2021-10-09 19:00:00,66,6,False
2021-10-09 20:00:00,62,6,False
2021-10-09 21:00:00,77,8,False
2021-10-09 22:00:00,69,7,False
2021-10-09 23:00:00,73,10,False
2021-10-10 00:00:00,74,10,False
2021-10-10 01:00:00,69,8,False
2021-10-10 02:00:00,73,8,False
2021-10-10 03:00:00,60,11,False
2021-10-10 04:00:00,62,9,False
2021-10-10 05:00:00,53,6,False
2021-10-10 06:00:00,48,7,False
2021-10-10 07:00:00,49,8,False
2021-10-10 08:00:00,55,7,False
2021-10-10 09:00:00,56,4,False
2021-10-10 10:00:00,42,6,False
2021-10-10 11:00:00,45,5,False
2021-10-10 12:00:00,51,7,False
2021-10-10 13:00:00,63,5,False
2021-10-10 14:00:00,61,7,False
2021-10-10 15:00:00,60,6,False
2021-10-10 16:00:00,53,5,False
2021-10-10 17:00:00,55,7,False
2021-10-10 18:00:00,69,8,False
2021-10-10 19:00:00,69,6,False
2021-10-10 20:00:00,59,3,False
2021-10-10 21:00:00,76,6,False
2021-10-10 22:00:00,78,5,False
2021-10-10 23:00:00,72,6,False
2021-10-11 00:00:00,79,8,False
2021-10-11 01:00:00,76,7,False
2021-10-11 02:00:00,77,1,False
2021-10-11 03:00:00,70,10,False
2021-10-11 04:00:00,56,12,False
2021-10-11 05:00:00,53,6,False
2021-10-11 06:00:00,51,9,False
2021-10-11 07:00:00,50,9,False
2021-10-11 08:00:00,49,5,False
2021-10-11 09:00:00,43,8,False
2021-10-11 10:00:00,53,7,False
2021-10-11 11:00:00,46,7,False
2021-10-11 12:00:00,58,8,False
2021-10-11 13:00:00,52,10,False
2021-10-11 14:00:00,61,7,False
2021-10-11 15:00:00,67,6,False
2021-10-11 16:00:00,56,5,False
2021-10-11 17:00:00,62,5,False
2021-10-11 18:00:00,57,9,False
2021-10-11 19:00:00,72,7,False
2021-10-11 20:00:00,67,7,False
2021-10-11 21:00:00,69,6,False
2021-10-11 22:00:00,66,6,False
2021-10-11 23:00:00,100,6,False
