date,sand,sandbox,isPartial
2020-02-04 23:00:00,79,9,False
2020-02-05 00:00:00,70,8,False
2020-02-05 01:00:00,62,8,False
2020-02-05 02:00:00,73,6,False
2020-02-05 03:00:00,68,6,False
2020-02-05 04:00:00,63,7,False
2020-02-05 05:00:00,66,7,False
2020-02-05 06:00:00,62,6,False
2020-02-05 07:00:00,53,8,False
2020-02-05 08:00:00,59,9,False
2020-02-05 09:00:00,56,7,False
2020-02-05 10:00:00,44,6,False
2020-02-05 11:00:00,59,7,False
2020-02-05 12:00:00,48,6,False
2020-02-05 13:00:00,58,7,False
2020-02-05 14:00:00,52,5,False
2020-02-05 15:00:00,62,7,False
2020-02-05 16:00:00,62,9,False
2020-02-05 17:00:00,63,8,False
2020-02-05 18:00:00,71,9,False
2020-02-05 19:00:00,66,6,False
2020-02-05 20:00:00,78,8,False
2020-02-05 21:00:00,66,6,False
2020-02-05 22:00:00,65,5,False
2020-02-05 23:00:00,80,9,False
2020-02-06 00:00:00,76,6,False
2020-02-06 01:00:00,72,7,False
2020-02-06 02:00:00,79,6,False
2020-02-06 03:00:00,78,6,False
2020-02-06 04:00:00,69,4,False
2020-02-06 05:00:00,68,3,False
2020-02-06 06:00:00,60,6,False
2020-02-06 07:00:00,55,8,False
2020-02-06 08:00:00,62,4,False
2020-02-06 09:00:00,61,6,False
2020-02-06 10:00:00,46,6,False
2020-02-06 11:00:00,48,8,False
2020-02-06 12:00:00,53,6,False
2020-02-06 13:00:00,48,5,False
2020-02-06 14:00:00,52,5,False
2020-02-06 15:00:00,59,7,False
2020-02-06 16:00:00,59,9,False
2020-02-06 17:00:00,68,7,False
2020-02-06 18:00:00,66,7,False
2020-02-06 19:00:00,71,7,False
2020-02-06 20:00:00,62,6,False
2020-02-06 21:00:00,78,10,False
2020-02-06 22:00:00,83,5,False
2020-02-06 23:00:00,73,7,False
2020-02-07 00:00:00,71,5,False
2020-02-07 01:00:00,81,4,False
2020-02-07 02:00:00,77,6,False
2020-02-07 03:00:00,61,3,False
2020-02-07 04:00:00,70,6,False
2020-02-07 05:00:00,54,12,False
2020-02-07 06:00:00,71,10,False
2020-02-07 07:00:00,52,5,False
2020-02-07 08:00:00,46,7,False
2020-02-07 09:00:00,47,6,False
2020-02-07 10:00:00,48,6,False
2020-02-07 11:00:00,44,7,False
2020-02-07 12:00:00,42,5,False
2020-02-07 13:00:00,53,5,False
2020-02-07 14:00:00,60,9,False
2020-02-07 15:00:00,61,8,False
2020-02-07 16:00:00,58,8,False
2020-02-07 17:00:00,81,9,False
2020-02-07 18:00:00,82,7,False
2020-02-07 19:00:00,86,8,False
2020-02-07 20:00:00,81,7,False
2020-02-07 21:00:00,82,6,False
2020-02-07 22:00:00,89,12,False
2020-02-07 23:00:00,66,7,False
2020-02-08 00:00:00,83,7,False
2020-02-08 01:00:00,73,6,False
2020-02-08 02:00:00,75,5,False
2020-02-08 03:00:00,75,8,False
2020-02-08 04:00:00,69,6,False
2020-02-08 05:00:00,69,8,False
2020-02-08 06:00:00,71,8,False
2020-02-08 07:00:00,69,3,False
2020-02-08 08:00:00,49,5,False
2020-02-08 09:00:00,72,3,False
2020-02-08 10:00:00,58,6,False
2020-02-08 11:00:00,49,7,False
2020-02-08 12:00:00,54,3,False
2020-02-08 13:00:00,52,4,False
2020-02-08 14:00:00,59,6,False
2020-02-08 15:00:00,54,5,False
2020-02-08 16:00:00,66,5,False
2020-02-08 17:00:00,68,6,False
2020-02-08 18:00:00,70,6,False
2020-02-08 19:00:00,69,4,False
2020-02-08 20:00:00,77,4,False
2020-02-08 21:00:00,77,6,False
2020-02-08 22:00:00,82,8,False
2020-02-08 23:00:00,77,6,False
2020-02-09 00:00:00,89,7,False
2020-02-09 01:00:00,80,6,False
2020-02-09 02:00:00,89,9,False
2020-02-09 03:00:00,87,5,False
2020-02-09 04:00:00,69,6,False
2020-02-09 05:00:00,66,6,False
2020-02-09 06:00:00,64,6,False
2020-02-09 07:00:00,59,6,False
2020-02-09 08:00:00,54,6,False
2020-02-09 09:00:00,54,4,False
2020-02-09 10:00:00,52,5,False
2020-02-09 11:00:00,46,3,False
2020-02-09 12:00:00,47,6,False
2020-02-09 13:00:00,54,5,False
2020-02-09 14:00:00,60,4,False
2020-02-09 15:00:00,57,3,False
2020-02-09 16:00:00,61,4,False
2020-02-09 17:00:00,73,6,False
2020-02-09 18:00:00,67,6,False
2020-02-09 19:00:00,91,8,False
2020-02-09 20:00:00,91,5,False
2020-02-09 21:00:00,98,6,False
2020-02-09 22:00:00,100,5,False
2020-02-09 23:00:00,90,5,False
