date,btc,bitcoin,isPartial
2020-12-10 23:00:00,7,29,False
2020-12-11 00:00:00,7,28,False
2020-12-11 01:00:00,7,25,False
2020-12-11 02:00:00,8,26,False
2020-12-11 03:00:00,8,27,False
2020-12-11 04:00:00,9,29,False
2020-12-11 05:00:00,10,34,False
2020-12-11 06:00:00,9,29,False
2020-12-11 07:00:00,10,28,False
2020-12-11 08:00:00,9,30,False
2020-12-11 09:00:00,8,27,False
2020-12-11 10:00:00,8,30,False
2020-12-11 11:00:00,7,29,False
2020-12-11 12:00:00,9,28,False
2020-12-11 13:00:00,7,29,False
2020-12-11 14:00:00,7,27,False
2020-12-11 15:00:00,8,26,False
2020-12-11 16:00:00,9,28,False
2020-12-11 17:00:00,8,27,False
2020-12-11 18:00:00,8,27,False
2020-12-11 19:00:00,7,29,False
2020-12-11 20:00:00,8,31,False
2020-12-11 21:00:00,7,31,False
2020-12-11 22:00:00,6,27,False
2020-12-11 23:00:00,7,30,False
2020-12-12 00:00:00,7,25,False
2020-12-12 01:00:00,7,26,False
2020-12-12 02:00:00,9,27,False
2020-12-12 03:00:00,9,23,False
2020-12-12 04:00:00,12,23,False
2020-12-12 05:00:00,11,23,False
2020-12-12 06:00:00,13,25,False
2020-12-12 07:00:00,11,23,False
2020-12-12 08:00:00,12,23,False
2020-12-12 09:00:00,12,25,False
2020-12-12 10:00:00,12,23,False
2020-12-12 11:00:00,12,25,False
2020-12-12 12:00:00,12,29,False
2020-12-12 13:00:00,12,23,False
2020-12-12 14:00:00,12,23,False
2020-12-12 15:00:00,12,22,False
2020-12-12 16:00:00,11,25,False
2020-12-12 17:00:00,9,25,False
2020-12-12 18:00:00,11,26,False
2020-12-12 19:00:00,7,28,False
2020-12-12 20:00:00,9,26,False
2020-12-12 21:00:00,8,27,False
2020-12-12 22:00:00,8,26,False
2020-12-12 23:00:00,7,27,False
2020-12-13 00:00:00,12,27,False
2020-12-13 01:00:00,14,22,False
2020-12-13 02:00:00,12,23,False
2020-12-13 03:00:00,9,27,False
2020-12-13 04:00:00,13,23,False
2020-12-13 05:00:00,9,24,False
2020-12-13 06:00:00,11,25,False
2020-12-13 07:00:00,12,24,False
2020-12-13 08:00:00,12,28,False
2020-12-13 09:00:00,10,28,False
2020-12-13 10:00:00,11,26,False
2020-12-13 11:00:00,10,27,False
2020-12-13 12:00:00,10,27,False
2020-12-13 13:00:00,10,26,False
2020-12-13 14:00:00,8,24,False
2020-12-13 15:00:00,9,27,False
2020-12-13 16:00:00,8,29,False
2020-12-13 17:00:00,10,30,False
2020-12-13 18:00:00,9,26,False
2020-12-13 19:00:00,7,29,False
2020-12-13 20:00:00,6,29,False
2020-12-13 21:00:00,8,29,False
2020-12-13 22:00:00,7,28,False
2020-12-13 23:00:00,8,29,False
2020-12-14 00:00:00,8,28,False
2020-12-14 01:00:00,8,27,False
2020-12-14 02:00:00,6,24,False
2020-12-14 03:00:00,8,27,False
2020-12-14 04:00:00,8,28,False
2020-12-14 05:00:00,9,23,False
2020-12-14 06:00:00,8,22,False
2020-12-14 07:00:00,8,24,False
2020-12-14 08:00:00,8,27,False
2020-12-14 09:00:00,7,31,False
2020-12-14 10:00:00,9,26,False
2020-12-14 11:00:00,8,23,False
2020-12-14 12:00:00,8,24,False
2020-12-14 13:00:00,8,28,False
2020-12-14 14:00:00,8,28,False
2020-12-14 15:00:00,8,28,False
2020-12-14 16:00:00,7,25,False
2020-12-14 17:00:00,7,27,False
2020-12-14 18:00:00,7,27,False
2020-12-14 19:00:00,8,30,False
2020-12-14 20:00:00,9,28,False
2020-12-14 21:00:00,6,29,False
2020-12-14 22:00:00,7,32,False
2020-12-14 23:00:00,7,29,False
2020-12-15 00:00:00,7,29,False
2020-12-15 01:00:00,8,27,False
2020-12-15 02:00:00,10,28,False
2020-12-15 03:00:00,8,29,False
2020-12-15 04:00:00,10,28,False
2020-12-15 05:00:00,7,28,False
2020-12-15 06:00:00,11,28,False
2020-12-15 07:00:00,7,23,False
2020-12-15 08:00:00,9,23,False
2020-12-15 09:00:00,9,24,False
2020-12-15 10:00:00,8,24,False
2020-12-15 11:00:00,7,26,False
2020-12-15 12:00:00,8,25,False
2020-12-15 13:00:00,9,27,False
2020-12-15 14:00:00,8,29,False
2020-12-15 15:00:00,9,26,False
2020-12-15 16:00:00,9,28,False
2020-12-15 17:00:00,7,29,False
2020-12-15 18:00:00,6,29,False
2020-12-15 19:00:00,9,30,False
2020-12-15 20:00:00,7,31,False
2020-12-15 21:00:00,7,32,False
2020-12-15 22:00:00,9,33,False
2020-12-15 23:00:00,9,32,False
