date,btc,bitcoin,isPartial
2021-03-20 23:00:00,13,64,False
2021-03-21 00:00:00,15,63,False
2021-03-21 01:00:00,14,53,False
2021-03-21 02:00:00,14,55,False
2021-03-21 03:00:00,14,57,False
2021-03-21 04:00:00,17,55,False
2021-03-21 05:00:00,16,50,False
2021-03-21 06:00:00,15,58,False
2021-03-21 07:00:00,16,58,False
2021-03-21 08:00:00,16,60,False
2021-03-21 09:00:00,18,55,False
2021-03-21 10:00:00,19,61,False
2021-03-21 11:00:00,18,58,False
2021-03-21 12:00:00,18,65,False
2021-03-21 13:00:00,14,58,False
2021-03-21 14:00:00,15,58,False
2021-03-21 15:00:00,14,55,False
2021-03-21 16:00:00,14,60,False
2021-03-21 17:00:00,12,58,False
2021-03-21 18:00:00,14,56,False
2021-03-21 19:00:00,15,71,False
2021-03-21 20:00:00,18,74,False
2021-03-21 21:00:00,19,82,False
2021-03-21 22:00:00,18,72,False
2021-03-21 23:00:00,17,65,False
2021-03-22 00:00:00,14,63,False
2021-03-22 01:00:00,15,58,False
2021-03-22 02:00:00,12,56,False
2021-03-22 03:00:00,17,58,False
2021-03-22 04:00:00,16,63,False
2021-03-22 05:00:00,15,62,False
2021-03-22 06:00:00,19,62,False
2021-03-22 07:00:00,16,58,False
2021-03-22 08:00:00,15,61,False
2021-03-22 09:00:00,15,61,False
2021-03-22 10:00:00,17,61,False
2021-03-22 11:00:00,16,67,False
2021-03-22 12:00:00,17,65,False
2021-03-22 13:00:00,17,65,False
2021-03-22 14:00:00,15,63,False
2021-03-22 15:00:00,16,62,False
2021-03-22 16:00:00,16,69,False
2021-03-22 17:00:00,16,68,False
2021-03-22 18:00:00,15,74,False
2021-03-22 19:00:00,16,77,False
2021-03-22 20:00:00,20,82,False
2021-03-22 21:00:00,25,94,False
2021-03-22 22:00:00,21,92,False
2021-03-22 23:00:00,21,79,False
2021-03-23 00:00:00,16,74,False
2021-03-23 01:00:00,18,66,False
2021-03-23 02:00:00,16,66,False
2021-03-23 03:00:00,18,59,False
2021-03-23 04:00:00,18,61,False
2021-03-23 05:00:00,20,71,False
2021-03-23 06:00:00,22,76,False
2021-03-23 07:00:00,16,69,False
2021-03-23 08:00:00,20,70,False
2021-03-23 09:00:00,18,65,False
2021-03-23 10:00:00,16,59,False
2021-03-23 11:00:00,17,66,False
2021-03-23 12:00:00,15,65,False
2021-03-23 13:00:00,15,62,False
2021-03-23 14:00:00,17,63,False
2021-03-23 15:00:00,15,62,False
2021-03-23 16:00:00,15,63,False
2021-03-23 17:00:00,16,65,False
2021-03-23 18:00:00,14,67,False
2021-03-23 19:00:00,17,72,False
2021-03-23 20:00:00,15,74,False
2021-03-23 21:00:00,18,82,False
2021-03-23 22:00:00,15,73,False
2021-03-23 23:00:00,13,70,False
2021-03-24 00:00:00,14,57,False
2021-03-24 01:00:00,14,60,False
2021-03-24 02:00:00,15,54,False
2021-03-24 03:00:00,13,54,False
2021-03-24 04:00:00,15,51,False
2021-03-24 05:00:00,18,63,False
2021-03-24 06:00:00,16,64,False
2021-03-24 07:00:00,22,69,False
2021-03-24 08:00:00,18,78,False
2021-03-24 09:00:00,21,73,False
2021-03-24 10:00:00,20,72,False
2021-03-24 11:00:00,19,78,False
2021-03-24 12:00:00,21,77,False
2021-03-24 13:00:00,18,75,False
2021-03-24 14:00:00,20,74,False
2021-03-24 15:00:00,14,71,False
2021-03-24 16:00:00,18,74,False
2021-03-24 17:00:00,17,77,False
2021-03-24 18:00:00,15,70,False
2021-03-24 19:00:00,17,79,False
2021-03-24 20:00:00,20,94,False
2021-03-24 21:00:00,18,92,False
2021-03-24 22:00:00,25,100,False
2021-03-24 23:00:00,24,98,False
2021-03-25 00:00:00,21,77,False
2021-03-25 01:00:00,19,73,False
2021-03-25 02:00:00,19,70,False
2021-03-25 03:00:00,20,69,False
2021-03-25 04:00:00,18,72,False
2021-03-25 05:00:00,21,76,False
2021-03-25 06:00:00,20,73,False
2021-03-25 07:00:00,19,75,False
2021-03-25 08:00:00,18,64,False
2021-03-25 09:00:00,18,75,False
2021-03-25 10:00:00,17,72,False
2021-03-25 11:00:00,15,72,False
2021-03-25 12:00:00,24,94,False
2021-03-25 13:00:00,27,98,False
2021-03-25 14:00:00,22,80,False
2021-03-25 15:00:00,22,88,False
2021-03-25 16:00:00,22,84,False
2021-03-25 17:00:00,19,86,False
2021-03-25 18:00:00,19,80,False
2021-03-25 19:00:00,19,80,False
2021-03-25 20:00:00,17,83,False
2021-03-25 21:00:00,19,83,False
2021-03-25 22:00:00,19,77,False
2021-03-25 23:00:00,17,72,False
