date,btc,bitcoin,isPartial
2020-06-03 23:00:00,23,77,False
2020-06-04 00:00:00,20,74,False
2020-06-04 01:00:00,19,78,False
2020-06-04 02:00:00,28,68,False
2020-06-04 03:00:00,29,83,False
2020-06-04 04:00:00,30,93,False
2020-06-04 05:00:00,30,85,False
2020-06-04 06:00:00,29,74,False
2020-06-04 07:00:00,29,79,False
2020-06-04 08:00:00,34,81,False
2020-06-04 09:00:00,25,71,False
2020-06-04 10:00:00,24,79,False
2020-06-04 11:00:00,27,80,False
2020-06-04 12:00:00,24,73,False
2020-06-04 13:00:00,31,74,False
2020-06-04 14:00:00,26,78,False
2020-06-04 15:00:00,25,79,False
2020-06-04 16:00:00,27,84,False
2020-06-04 17:00:00,22,74,False
2020-06-04 18:00:00,25,84,False
2020-06-04 19:00:00,32,86,False
2020-06-04 20:00:00,23,92,False
2020-06-04 21:00:00,28,96,False
2020-06-04 22:00:00,24,94,False
2020-06-04 23:00:00,31,81,False
2020-06-05 00:00:00,28,81,False
2020-06-05 01:00:00,22,76,False
2020-06-05 02:00:00,18,78,False
2020-06-05 03:00:00,29,75,False
2020-06-05 04:00:00,21,82,False
2020-06-05 05:00:00,30,92,False
2020-06-05 06:00:00,32,74,False
2020-06-05 07:00:00,27,79,False
2020-06-05 08:00:00,32,76,False
2020-06-05 09:00:00,26,74,False
2020-06-05 10:00:00,22,78,False
2020-06-05 11:00:00,22,80,False
2020-06-05 12:00:00,26,79,False
2020-06-05 13:00:00,32,84,False
2020-06-05 14:00:00,25,75,False
2020-06-05 15:00:00,29,73,False
2020-06-05 16:00:00,27,83,False
2020-06-05 17:00:00,24,82,False
2020-06-05 18:00:00,19,77,False
2020-06-05 19:00:00,21,79,False
2020-06-05 20:00:00,22,80,False
2020-06-05 21:00:00,19,92,False
2020-06-05 22:00:00,24,73,False
2020-06-05 23:00:00,24,86,False
2020-06-06 00:00:00,19,76,False
2020-06-06 01:00:00,31,71,False
2020-06-06 02:00:00,24,70,False
2020-06-06 03:00:00,30,62,False
2020-06-06 04:00:00,22,73,False
2020-06-06 05:00:00,32,62,False
2020-06-06 06:00:00,37,78,False
2020-06-06 07:00:00,40,87,False
2020-06-06 08:00:00,36,89,False
2020-06-06 09:00:00,29,74,False
2020-06-06 10:00:00,31,85,False
2020-06-06 11:00:00,25,73,False
2020-06-06 12:00:00,26,72,False
2020-06-06 13:00:00,22,67,False
2020-06-06 14:00:00,24,60,False
2020-06-06 15:00:00,19,65,False
2020-06-06 16:00:00,25,69,False
2020-06-06 17:00:00,22,76,False
2020-06-06 18:00:00,19,80,False
2020-06-06 19:00:00,25,70,False
2020-06-06 20:00:00,22,84,False
2020-06-06 21:00:00,22,79,False
2020-06-06 22:00:00,22,81,False
2020-06-06 23:00:00,19,71,False
2020-06-07 00:00:00,24,73,False
2020-06-07 01:00:00,23,66,False
2020-06-07 02:00:00,20,76,False
2020-06-07 03:00:00,28,73,False
2020-06-07 04:00:00,22,68,False
2020-06-07 05:00:00,35,79,False
2020-06-07 06:00:00,38,69,False
2020-06-07 07:00:00,30,70,False
2020-06-07 08:00:00,41,79,False
2020-06-07 09:00:00,32,75,False
2020-06-07 10:00:00,26,72,False
2020-06-07 11:00:00,22,64,False
2020-06-07 12:00:00,28,84,False
2020-06-07 13:00:00,23,79,False
2020-06-07 14:00:00,19,80,False
2020-06-07 15:00:00,27,80,False
2020-06-07 16:00:00,24,74,False
2020-06-07 17:00:00,22,71,False
2020-06-07 18:00:00,20,71,False
2020-06-07 19:00:00,20,71,False
2020-06-07 20:00:00,27,84,False
2020-06-07 21:00:00,25,79,False
2020-06-07 22:00:00,19,83,False
2020-06-07 23:00:00,19,84,False
2020-06-08 00:00:00,26,76,False
2020-06-08 01:00:00,21,78,False
2020-06-08 02:00:00,23,63,False
2020-06-08 03:00:00,22,66,False
2020-06-08 04:00:00,25,72,False
2020-06-08 05:00:00,30,83,False
2020-06-08 06:00:00,25,74,False
2020-06-08 07:00:00,22,71,False
2020-06-08 08:00:00,21,77,False
2020-06-08 09:00:00,32,64,False
2020-06-08 10:00:00,26,70,False
2020-06-08 11:00:00,21,72,False
2020-06-08 12:00:00,28,78,False
2020-06-08 13:00:00,25,78,False
2020-06-08 14:00:00,20,74,False
2020-06-08 15:00:00,23,81,False
2020-06-08 16:00:00,19,79,False
2020-06-08 17:00:00,22,75,False
2020-06-08 18:00:00,25,73,False
2020-06-08 19:00:00,20,77,False
2020-06-08 20:00:00,18,83,False
2020-06-08 21:00:00,20,87,False
2020-06-08 22:00:00,22,82,False
2020-06-08 23:00:00,22,85,False
