date,btc,bitcoin,isPartial
2020-09-11 23:00:00,22,81,False
2020-09-12 00:00:00,17,55,False
2020-09-12 01:00:00,20,67,False
2020-09-12 02:00:00,19,61,False
2020-09-12 03:00:00,21,60,False
2020-09-12 04:00:00,22,64,False
2020-09-12 05:00:00,18,60,False
2020-09-12 06:00:00,22,77,False
2020-09-12 07:00:00,24,73,False
2020-09-12 08:00:00,25,74,False
2020-09-12 09:00:00,19,66,False
2020-09-12 10:00:00,29,58,False
2020-09-12 11:00:00,21,66,False
2020-09-12 12:00:00,28,78,False
2020-09-12 13:00:00,21,70,False
2020-09-12 14:00:00,23,69,False
2020-09-12 15:00:00,23,68,False
2020-09-12 16:00:00,25,60,False
2020-09-12 17:00:00,23,64,False
2020-09-12 18:00:00,21,69,False
2020-09-12 19:00:00,20,62,False
2020-09-12 20:00:00,16,77,False
2020-09-12 21:00:00,20,79,False
2020-09-12 22:00:00,25,81,False
2020-09-12 23:00:00,18,62,False
2020-09-13 00:00:00,20,69,False
2020-09-13 01:00:00,22,74,False
2020-09-13 02:00:00,28,68,False
2020-09-13 03:00:00,17,65,False
2020-09-13 04:00:00,23,67,False
2020-09-13 05:00:00,24,68,False
2020-09-13 06:00:00,30,80,False
2020-09-13 07:00:00,25,71,False
2020-09-13 08:00:00,25,72,False
2020-09-13 09:00:00,24,63,False
2020-09-13 10:00:00,24,75,False
2020-09-13 11:00:00,25,67,False
2020-09-13 12:00:00,19,56,False
2020-09-13 13:00:00,22,77,False
2020-09-13 14:00:00,25,65,False
2020-09-13 15:00:00,24,66,False
2020-09-13 16:00:00,22,65,False
2020-09-13 17:00:00,19,64,False
2020-09-13 18:00:00,20,67,False
2020-09-13 19:00:00,20,67,False
2020-09-13 20:00:00,19,73,False
2020-09-13 21:00:00,22,89,False
2020-09-13 22:00:00,21,76,False
2020-09-13 23:00:00,23,58,False
2020-09-14 00:00:00,23,60,False
2020-09-14 01:00:00,24,62,False
2020-09-14 02:00:00,16,64,False
2020-09-14 03:00:00,22,62,False
2020-09-14 04:00:00,18,65,False
2020-09-14 05:00:00,25,66,False
2020-09-14 06:00:00,23,67,False
2020-09-14 07:00:00,26,63,False
2020-09-14 08:00:00,21,69,False
2020-09-14 09:00:00,23,68,False
2020-09-14 10:00:00,23,64,False
2020-09-14 11:00:00,25,64,False
2020-09-14 12:00:00,24,60,False
2020-09-14 13:00:00,22,70,False
2020-09-14 14:00:00,28,77,False
2020-09-14 15:00:00,23,84,False
2020-09-14 16:00:00,23,80,False
2020-09-14 17:00:00,22,77,False
2020-09-14 18:00:00,20,75,False
2020-09-14 19:00:00,19,77,False
2020-09-14 20:00:00,24,92,False
2020-09-14 21:00:00,25,90,False
2020-09-14 22:00:00,22,76,False
2020-09-14 23:00:00,29,74,False
2020-09-15 00:00:00,22,71,False
2020-09-15 01:00:00,21,63,False
2020-09-15 02:00:00,26,74,False
2020-09-15 03:00:00,25,77,False
2020-09-15 04:00:00,23,76,False
2020-09-15 05:00:00,31,66,False
2020-09-15 06:00:00,31,73,False
2020-09-15 07:00:00,27,63,False
2020-09-15 08:00:00,26,77,False
2020-09-15 09:00:00,25,69,False
2020-09-15 10:00:00,26,76,False
2020-09-15 11:00:00,29,78,False
2020-09-15 12:00:00,24,70,False
2020-09-15 13:00:00,30,81,False
2020-09-15 14:00:00,23,71,False
2020-09-15 15:00:00,25,70,False
2020-09-15 16:00:00,22,82,False
2020-09-15 17:00:00,24,69,False
2020-09-15 18:00:00,20,70,False
2020-09-15 19:00:00,21,82,False
2020-09-15 20:00:00,23,81,False
2020-09-15 21:00:00,23,90,False
2020-09-15 22:00:00,24,84,False
2020-09-15 23:00:00,26,84,False
2020-09-16 00:00:00,23,62,False
2020-09-16 01:00:00,23,62,False
2020-09-16 02:00:00,20,63,False
2020-09-16 03:00:00,23,62,False
2020-09-16 04:00:00,29,69,False
2020-09-16 05:00:00,24,66,False
2020-09-16 06:00:00,27,71,False
2020-09-16 07:00:00,29,76,False
2020-09-16 08:00:00,25,80,False
2020-09-16 09:00:00,24,80,False
2020-09-16 10:00:00,20,78,False
2020-09-16 11:00:00,23,80,False
2020-09-16 12:00:00,28,75,False
2020-09-16 13:00:00,24,76,False
2020-09-16 14:00:00,23,76,False
2020-09-16 15:00:00,24,67,False
2020-09-16 16:00:00,28,78,False
2020-09-16 17:00:00,25,77,False
2020-09-16 18:00:00,31,72,False
2020-09-16 19:00:00,22,94,False
2020-09-16 20:00:00,23,89,False
2020-09-16 21:00:00,26,100,False
2020-09-16 22:00:00,24,79,False
2020-09-16 23:00:00,18,65,False
