date,btc,bitcoin,isPartial
2021-01-29 23:00:00,20,100,False
2021-01-30 00:00:00,20,84,False
2021-01-30 01:00:00,16,85,False
2021-01-30 02:00:00,21,82,False
2021-01-30 03:00:00,19,79,False
2021-01-30 04:00:00,20,82,False
2021-01-30 05:00:00,19,75,False
2021-01-30 06:00:00,20,77,False
2021-01-30 07:00:00,19,77,False
2021-01-30 08:00:00,18,75,False
2021-01-30 09:00:00,16,77,False
2021-01-30 10:00:00,18,70,False
2021-01-30 11:00:00,19,67,False
2021-01-30 12:00:00,17,70,False
2021-01-30 13:00:00,17,72,False
2021-01-30 14:00:00,16,68,False
2021-01-30 15:00:00,17,69,False
2021-01-30 16:00:00,18,79,False
2021-01-30 17:00:00,19,73,False
2021-01-30 18:00:00,15,70,False
2021-01-30 19:00:00,17,73,False
2021-01-30 20:00:00,16,76,False
2021-01-30 21:00:00,15,72,False
2021-01-30 22:00:00,14,75,False
2021-01-30 23:00:00,18,73,False
2021-01-31 00:00:00,17,71,False
2021-01-31 01:00:00,15,62,False
2021-01-31 02:00:00,16,70,False
2021-01-31 03:00:00,16,64,False
2021-01-31 04:00:00,15,59,False
2021-01-31 05:00:00,19,59,False
2021-01-31 06:00:00,16,61,False
2021-01-31 07:00:00,14,59,False
2021-01-31 08:00:00,17,55,False
2021-01-31 09:00:00,16,58,False
2021-01-31 10:00:00,15,58,False
2021-01-31 11:00:00,15,58,False
2021-01-31 12:00:00,17,63,False
2021-01-31 13:00:00,14,60,False
2021-01-31 14:00:00,14,59,False
2021-01-31 15:00:00,13,60,False
2021-01-31 16:00:00,16,60,False
2021-01-31 17:00:00,14,59,False
2021-01-31 18:00:00,15,67,False
2021-01-31 19:00:00,16,63,False
2021-01-31 20:00:00,16,66,False
2021-01-31 21:00:00,19,69,False
2021-01-31 22:00:00,16,71,False
2021-01-31 23:00:00,15,71,False
2021-02-01 00:00:00,14,63,False
2021-02-01 01:00:00,11,60,False
2021-02-01 02:00:00,17,54,False
2021-02-01 03:00:00,14,58,False
2021-02-01 04:00:00,16,60,False
2021-02-01 05:00:00,16,61,False
2021-02-01 06:00:00,18,59,False
2021-02-01 07:00:00,18,59,False
2021-02-01 08:00:00,17,65,False
2021-02-01 09:00:00,16,57,False
2021-02-01 10:00:00,15,56,False
2021-02-01 11:00:00,16,60,False
2021-02-01 12:00:00,15,66,False
2021-02-01 13:00:00,16,66,False
2021-02-01 14:00:00,16,63,False
2021-02-01 15:00:00,15,68,False
2021-02-01 16:00:00,15,63,False
2021-02-01 17:00:00,15,69,False
2021-02-01 18:00:00,14,66,False
2021-02-01 19:00:00,15,67,False
2021-02-01 20:00:00,13,74,False
2021-02-01 21:00:00,17,70,False
2021-02-01 22:00:00,13,69,False
2021-02-01 23:00:00,15,64,False
2021-02-02 00:00:00,14,60,False
2021-02-02 01:00:00,12,61,False
2021-02-02 02:00:00,11,52,False
2021-02-02 03:00:00,13,60,False
2021-02-02 04:00:00,13,57,False
2021-02-02 05:00:00,18,56,False
2021-02-02 06:00:00,16,59,False
2021-02-02 07:00:00,18,53,False
2021-02-02 08:00:00,14,58,False
2021-02-02 09:00:00,14,58,False
2021-02-02 10:00:00,17,57,False
2021-02-02 11:00:00,14,51,False
2021-02-02 12:00:00,13,53,False
2021-02-02 13:00:00,16,56,False
2021-02-02 14:00:00,14,54,False
2021-02-02 15:00:00,15,54,False
2021-02-02 16:00:00,15,59,False
2021-02-02 17:00:00,16,62,False
2021-02-02 18:00:00,15,55,False
2021-02-02 19:00:00,16,69,False
2021-02-02 20:00:00,15,70,False
2021-02-02 21:00:00,15,76,False
2021-02-02 22:00:00,16,72,False
2021-02-02 23:00:00,17,66,False
2021-02-03 00:00:00,18,67,False
2021-02-03 01:00:00,15,58,False
2021-02-03 02:00:00,16,60,False
2021-02-03 03:00:00,18,61,False
2021-02-03 04:00:00,16,62,False
2021-02-03 05:00:00,17,57,False
2021-02-03 06:00:00,20,66,False
2021-02-03 07:00:00,15,60,False
2021-02-03 08:00:00,16,58,False
2021-02-03 09:00:00,14,59,False
2021-02-03 10:00:00,15,54,False
2021-02-03 11:00:00,15,54,False
2021-02-03 12:00:00,15,56,False
2021-02-03 13:00:00,13,63,False
2021-02-03 14:00:00,15,59,False
2021-02-03 15:00:00,16,61,False
2021-02-03 16:00:00,15,63,False
2021-02-03 17:00:00,17,73,False
2021-02-03 18:00:00,17,72,False
2021-02-03 19:00:00,17,71,False
2021-02-03 20:00:00,16,69,False
2021-02-03 21:00:00,18,75,False
2021-02-03 22:00:00,17,71,False
2021-02-03 23:00:00,18,72,False
