date,btc,bitcoin,isPartial
2020-04-29 23:00:00,21,66,False
2020-04-30 00:00:00,20,64,False
2020-04-30 01:00:00,19,61,False
2020-04-30 02:00:00,16,53,False
2020-04-30 03:00:00,25,71,False
2020-04-30 04:00:00,26,85,False
2020-04-30 05:00:00,33,85,False
2020-04-30 06:00:00,33,100,False
2020-04-30 07:00:00,26,85,False
2020-04-30 08:00:00,22,73,False
2020-04-30 09:00:00,25,74,False
2020-04-30 10:00:00,24,71,False
2020-04-30 11:00:00,20,68,False
2020-04-30 12:00:00,22,67,False
2020-04-30 13:00:00,16,67,False
2020-04-30 14:00:00,16,62,False
2020-04-30 15:00:00,17,60,False
2020-04-30 16:00:00,15,68,False
2020-04-30 17:00:00,16,57,False
2020-04-30 18:00:00,16,59,False
2020-04-30 19:00:00,15,59,False
2020-04-30 20:00:00,19,62,False
2020-04-30 21:00:00,15,59,False
2020-04-30 22:00:00,14,72,False
2020-04-30 23:00:00,16,52,False
2020-05-01 00:00:00,16,51,False
2020-05-01 01:00:00,14,58,False
2020-05-01 02:00:00,17,52,False
2020-05-01 03:00:00,12,48,False
2020-05-01 04:00:00,18,57,False
2020-05-01 05:00:00,16,53,False
2020-05-01 06:00:00,18,56,False
2020-05-01 07:00:00,16,58,False
2020-05-01 08:00:00,16,54,False
2020-05-01 09:00:00,17,52,False
2020-05-01 10:00:00,18,56,False
2020-05-01 11:00:00,18,53,False
2020-05-01 12:00:00,16,61,False
2020-05-01 13:00:00,16,51,False
2020-05-01 14:00:00,13,49,False
2020-05-01 15:00:00,13,52,False
2020-05-01 16:00:00,15,50,False
2020-05-01 17:00:00,13,52,False
2020-05-01 18:00:00,15,53,False
2020-05-01 19:00:00,13,51,False
2020-05-01 20:00:00,15,54,False
2020-05-01 21:00:00,15,53,False
2020-05-01 22:00:00,16,56,False
2020-05-01 23:00:00,18,59,False
2020-05-02 00:00:00,12,53,False
2020-05-02 01:00:00,11,50,False
2020-05-02 02:00:00,13,51,False
2020-05-02 03:00:00,15,50,False
2020-05-02 04:00:00,13,45,False
2020-05-02 05:00:00,17,45,False
2020-05-02 06:00:00,14,50,False
2020-05-02 07:00:00,14,52,False
2020-05-02 08:00:00,14,48,False
2020-05-02 09:00:00,15,47,False
2020-05-02 10:00:00,11,51,False
2020-05-02 11:00:00,14,50,False
2020-05-02 12:00:00,13,48,False
2020-05-02 13:00:00,12,52,False
2020-05-02 14:00:00,15,49,False
2020-05-02 15:00:00,16,50,False
2020-05-02 16:00:00,17,50,False
2020-05-02 17:00:00,13,53,False
2020-05-02 18:00:00,13,47,False
2020-05-02 19:00:00,13,49,False
2020-05-02 20:00:00,13,53,False
2020-05-02 21:00:00,15,56,False
2020-05-02 22:00:00,15,57,False
2020-05-02 23:00:00,17,48,False
2020-05-03 00:00:00,16,55,False
2020-05-03 01:00:00,20,63,False
2020-05-03 02:00:00,16,57,False
2020-05-03 03:00:00,16,52,False
2020-05-03 04:00:00,15,48,False
2020-05-03 05:00:00,16,45,False
2020-05-03 06:00:00,13,52,False
2020-05-03 07:00:00,17,49,False
2020-05-03 08:00:00,17,55,False
2020-05-03 09:00:00,16,55,False
2020-05-03 10:00:00,15,55,False
2020-05-03 11:00:00,16,52,False
2020-05-03 12:00:00,15,55,False
2020-05-03 13:00:00,12,52,False
2020-05-03 14:00:00,13,46,False
2020-05-03 15:00:00,13,44,False
2020-05-03 16:00:00,15,41,False
2020-05-03 17:00:00,12,48,False
2020-05-03 18:00:00,15,47,False
2020-05-03 19:00:00,11,49,False
2020-05-03 20:00:00,12,54,False
2020-05-03 21:00:00,13,53,False
2020-05-03 22:00:00,16,56,False
2020-05-03 23:00:00,12,58,False
2020-05-04 00:00:00,13,48,False
2020-05-04 01:00:00,13,51,False
2020-05-04 02:00:00,14,49,False
2020-05-04 03:00:00,14,38,False
2020-05-04 04:00:00,15,42,False
2020-05-04 05:00:00,15,58,False
2020-05-04 06:00:00,16,46,False
2020-05-04 07:00:00,16,48,False
2020-05-04 08:00:00,15,48,False
2020-05-04 09:00:00,15,47,False
2020-05-04 10:00:00,13,49,False
2020-05-04 11:00:00,12,50,False
2020-05-04 12:00:00,14,47,False
2020-05-04 13:00:00,11,46,False
2020-05-04 14:00:00,14,45,False
2020-05-04 15:00:00,12,47,False
2020-05-04 16:00:00,13,46,False
2020-05-04 17:00:00,11,49,False
2020-05-04 18:00:00,14,45,False
2020-05-04 19:00:00,13,48,False
2020-05-04 20:00:00,14,51,False
2020-05-04 21:00:00,14,56,False
2020-05-04 22:00:00,14,56,False
2020-05-04 23:00:00,12,46,False
