date,btc,bitcoin,isPartial
2021-12-05 23:00:00,27,92,False
2021-12-06 00:00:00,18,82,False
2021-12-06 01:00:00,23,83,False
2021-12-06 02:00:00,22,79,False
2021-12-06 03:00:00,21,76,False
2021-12-06 04:00:00,21,73,False
2021-12-06 05:00:00,22,78,False
2021-12-06 06:00:00,20,86,False
2021-12-06 07:00:00,31,85,False
2021-12-06 08:00:00,28,85,False
2021-12-06 09:00:00,27,82,False
2021-12-06 10:00:00,29,91,False
2021-12-06 11:00:00,26,100,False
2021-12-06 12:00:00,24,92,False
2021-12-06 13:00:00,23,91,False
2021-12-06 14:00:00,25,88,False
2021-12-06 15:00:00,25,99,False
2021-12-06 16:00:00,22,89,False
2021-12-06 17:00:00,22,88,False
2021-12-06 18:00:00,20,92,False
2021-12-06 19:00:00,23,90,False
2021-12-06 20:00:00,22,86,False
2021-12-06 21:00:00,26,91,False
2021-12-06 22:00:00,25,96,False
2021-12-06 23:00:00,24,93,False
2021-12-07 00:00:00,20,80,False
2021-12-07 01:00:00,21,83,False
2021-12-07 02:00:00,20,77,False
2021-12-07 03:00:00,19,73,False
2021-12-07 04:00:00,21,82,False
2021-12-07 05:00:00,22,79,False
2021-12-07 06:00:00,24,77,False
2021-12-07 07:00:00,22,70,False
2021-12-07 08:00:00,24,78,False
2021-12-07 09:00:00,22,69,False
2021-12-07 10:00:00,17,71,False
2021-12-07 11:00:00,21,79,False
2021-12-07 12:00:00,21,70,False
2021-12-07 13:00:00,17,70,False
2021-12-07 14:00:00,23,79,False
2021-12-07 15:00:00,21,75,False
2021-12-07 16:00:00,22,74,False
2021-12-07 17:00:00,20,75,False
2021-12-07 18:00:00,19,75,False
2021-12-07 19:00:00,18,77,False
2021-12-07 20:00:00,19,76,False
2021-12-07 21:00:00,18,76,False
2021-12-07 22:00:00,18,76,False
2021-12-07 23:00:00,18,80,False
2021-12-08 00:00:00,18,74,False
2021-12-08 01:00:00,14,65,False
2021-12-08 02:00:00,17,65,False
2021-12-08 03:00:00,19,67,False
2021-12-08 04:00:00,17,62,False
2021-12-08 05:00:00,17,70,False
2021-12-08 06:00:00,21,68,False
2021-12-08 07:00:00,18,64,False
2021-12-08 08:00:00,17,65,False
2021-12-08 09:00:00,19,70,False
2021-12-08 10:00:00,20,69,False
2021-12-08 11:00:00,19,68,False
2021-12-08 12:00:00,21,67,False
2021-12-08 13:00:00,19,63,False
2021-12-08 14:00:00,20,71,False
2021-12-08 15:00:00,20,68,False
2021-12-08 16:00:00,19,70,False
2021-12-08 17:00:00,18,70,False
2021-12-08 18:00:00,15,67,False
2021-12-08 19:00:00,15,65,False
2021-12-08 20:00:00,17,70,False
2021-12-08 21:00:00,14,68,False
2021-12-08 22:00:00,20,68,False
2021-12-08 23:00:00,15,71,False
2021-12-09 00:00:00,18,60,False
2021-12-09 01:00:00,14,57,False
2021-12-09 02:00:00,13,62,False
2021-12-09 03:00:00,16,60,False
2021-12-09 04:00:00,17,66,False
2021-12-09 05:00:00,17,67,False
2021-12-09 06:00:00,17,61,False
2021-12-09 07:00:00,17,63,False
2021-12-09 08:00:00,19,63,False
2021-12-09 09:00:00,19,65,False
2021-12-09 10:00:00,18,68,False
2021-12-09 11:00:00,15,63,False
2021-12-09 12:00:00,18,60,False
2021-12-09 13:00:00,18,65,False
2021-12-09 14:00:00,17,65,False
2021-12-09 15:00:00,20,67,False
2021-12-09 16:00:00,20,67,False
2021-12-09 17:00:00,18,70,False
2021-12-09 18:00:00,21,72,False
2021-12-09 19:00:00,21,79,False
2021-12-09 20:00:00,22,85,False
2021-12-09 21:00:00,20,77,False
2021-12-09 22:00:00,20,76,False
2021-12-09 23:00:00,15,72,False
2021-12-10 00:00:00,17,60,False
2021-12-10 01:00:00,17,63,False
2021-12-10 02:00:00,14,56,False
2021-12-10 03:00:00,16,61,False
2021-12-10 04:00:00,18,61,False
2021-12-10 05:00:00,15,62,False
2021-12-10 06:00:00,19,66,False
2021-12-10 07:00:00,20,70,False
2021-12-10 08:00:00,17,65,False
2021-12-10 09:00:00,18,63,False
2021-12-10 10:00:00,17,62,False
2021-12-10 11:00:00,19,58,False
2021-12-10 12:00:00,18,62,False
2021-12-10 13:00:00,17,61,False
2021-12-10 14:00:00,18,65,False
2021-12-10 15:00:00,19,67,False
2021-12-10 16:00:00,18,78,False
2021-12-10 17:00:00,20,73,False
2021-12-10 18:00:00,20,66,False
2021-12-10 19:00:00,19,70,False
2021-12-10 20:00:00,17,73,False
2021-12-10 21:00:00,16,74,False
2021-12-10 22:00:00,16,74,False
2021-12-10 23:00:00,16,64,False
