date,doge,dogecoin,isPartial
2020-10-01 23:00:00,55,6,False
2020-10-02 00:00:00,30,17,False
2020-10-02 01:00:00,59,17,False
2020-10-02 02:00:00,71,0,False
2020-10-02 03:00:00,12,17,False
2020-10-02 04:00:00,31,6,False
2020-10-02 05:00:00,29,11,False
2020-10-02 06:00:00,53,10,False
2020-10-02 07:00:00,30,14,False
2020-10-02 08:00:00,43,9,False
2020-10-02 09:00:00,52,13,False
2020-10-02 10:00:00,72,0,False
2020-10-02 11:00:00,75,8,False
2020-10-02 12:00:00,73,4,False
2020-10-02 13:00:00,50,17,False
2020-10-02 14:00:00,51,16,False
2020-10-02 15:00:00,67,20,False
2020-10-02 16:00:00,46,10,False
2020-10-02 17:00:00,51,17,False
2020-10-02 18:00:00,100,14,False
2020-10-02 19:00:00,87,12,False
2020-10-02 20:00:00,51,0,False
2020-10-02 21:00:00,47,20,False
2020-10-02 22:00:00,89,22,False
2020-10-02 23:00:00,51,0,False
2020-10-03 00:00:00,58,12,False
2020-10-03 01:00:00,57,12,False
2020-10-03 02:00:00,19,6,False
2020-10-03 03:00:00,39,25,False
2020-10-03 04:00:00,68,19,False
2020-10-03 05:00:00,26,6,False
2020-10-03 06:00:00,42,6,False
2020-10-03 07:00:00,28,5,False
2020-10-03 08:00:00,43,10,False
2020-10-03 09:00:00,41,10,False
2020-10-03 10:00:00,35,5,False
2020-10-03 11:00:00,77,21,False
2020-10-03 12:00:00,65,8,False
2020-10-03 13:00:00,38,11,False
2020-10-03 14:00:00,44,4,False
2020-10-03 15:00:00,40,0,False
2020-10-03 16:00:00,51,0,False
2020-10-03 17:00:00,41,11,False
2020-10-03 18:00:00,71,15,False
2020-10-03 19:00:00,81,0,False
2020-10-03 20:00:00,84,9,False
2020-10-03 21:00:00,47,20,False
2020-10-03 22:00:00,63,6,False
2020-10-03 23:00:00,73,12,False
2020-10-04 00:00:00,44,12,False
2020-10-04 01:00:00,63,6,False
2020-10-04 02:00:00,77,6,False
2020-10-04 03:00:00,26,13,False
2020-10-04 04:00:00,75,20,False
2020-10-04 05:00:00,45,13,False
2020-10-04 06:00:00,35,6,False
2020-10-04 07:00:00,43,5,False
2020-10-04 08:00:00,40,5,False
2020-10-04 09:00:00,34,9,False
2020-10-04 10:00:00,46,5,False
2020-10-04 11:00:00,26,17,False
2020-10-04 12:00:00,41,0,False
2020-10-04 13:00:00,37,11,False
2020-10-04 14:00:00,53,3,False
2020-10-04 15:00:00,49,3,False
2020-10-04 16:00:00,65,21,False
2020-10-04 17:00:00,54,0,False
2020-10-04 18:00:00,48,7,False
2020-10-04 19:00:00,44,0,False
2020-10-04 20:00:00,44,9,False
2020-10-04 21:00:00,40,0,False
2020-10-04 22:00:00,45,0,False
2020-10-04 23:00:00,53,6,False
2020-10-05 00:00:00,34,17,False
2020-10-05 01:00:00,48,5,False
2020-10-05 02:00:00,34,11,False
2020-10-05 03:00:00,68,22,False
2020-10-05 04:00:00,52,11,False
2020-10-05 05:00:00,48,10,False
2020-10-05 06:00:00,43,14,False
2020-10-05 07:00:00,40,0,False
2020-10-05 08:00:00,39,4,False
2020-10-05 09:00:00,54,4,False
2020-10-05 10:00:00,32,16,False
2020-10-05 11:00:00,49,26,False
2020-10-05 12:00:00,24,0,False
2020-10-05 13:00:00,66,15,False
2020-10-05 14:00:00,55,18,False
2020-10-05 15:00:00,65,9,False
2020-10-05 16:00:00,56,6,False
2020-10-05 17:00:00,57,12,False
2020-10-05 18:00:00,61,17,False
2020-10-05 19:00:00,47,18,False
2020-10-05 20:00:00,45,16,False
2020-10-05 21:00:00,77,5,False
2020-10-05 22:00:00,54,21,False
2020-10-05 23:00:00,34,11,False
2020-10-06 00:00:00,76,6,False
2020-10-06 01:00:00,37,22,False
2020-10-06 02:00:00,65,27,False
2020-10-06 03:00:00,66,17,False
2020-10-06 04:00:00,50,11,False
2020-10-06 05:00:00,26,21,False
2020-10-06 06:00:00,51,10,False
2020-10-06 07:00:00,26,9,False
2020-10-06 08:00:00,55,9,False
2020-10-06 09:00:00,41,0,False
2020-10-06 10:00:00,47,4,False
2020-10-06 11:00:00,47,7,False
2020-10-06 12:00:00,67,14,False
2020-10-06 13:00:00,73,16,False
2020-10-06 14:00:00,51,15,False
2020-10-06 15:00:00,60,6,False
2020-10-06 16:00:00,68,0,False
2020-10-06 17:00:00,76,6,False
2020-10-06 18:00:00,64,24,False
2020-10-06 19:00:00,72,11,False
2020-10-06 20:00:00,74,12,False
2020-10-06 21:00:00,56,9,False
2020-10-06 22:00:00,16,5,False
2020-10-06 23:00:00,39,0,False
