date,doge,dogecoin,isPartial
2020-02-14 23:00:00,66,19,False
2020-02-15 00:00:00,65,15,False
2020-02-15 01:00:00,50,15,False
2020-02-15 02:00:00,88,21,False
2020-02-15 03:00:00,74,21,False
2020-02-15 04:00:00,55,17,False
2020-02-15 05:00:00,68,6,False
2020-02-15 06:00:00,42,21,False
2020-02-15 07:00:00,33,9,False
2020-02-15 08:00:00,53,9,False
2020-02-15 09:00:00,30,0,False
2020-02-15 10:00:00,40,8,False
2020-02-15 11:00:00,19,15,False
2020-02-15 12:00:00,11,18,False
2020-02-15 13:00:00,37,10,False
2020-02-15 14:00:00,22,6,False
2020-02-15 15:00:00,49,15,False
2020-02-15 16:00:00,46,9,False
2020-02-15 17:00:00,45,0,False
2020-02-15 18:00:00,35,3,False
2020-02-15 19:00:00,44,7,False
2020-02-15 20:00:00,47,22,False
2020-02-15 21:00:00,30,15,False
2020-02-15 22:00:00,56,9,False
2020-02-15 23:00:00,62,9,False
2020-02-16 00:00:00,54,15,False
2020-02-16 01:00:00,20,15,False
2020-02-16 02:00:00,66,10,False
2020-02-16 03:00:00,36,10,False
2020-02-16 04:00:00,76,32,False
2020-02-16 05:00:00,45,11,False
2020-02-16 06:00:00,33,11,False
2020-02-16 07:00:00,35,15,False
2020-02-16 08:00:00,36,9,False
2020-02-16 09:00:00,50,12,False
2020-02-16 10:00:00,28,4,False
2020-02-16 11:00:00,27,15,False
2020-02-16 12:00:00,39,4,False
2020-02-16 13:00:00,49,10,False
2020-02-16 14:00:00,32,13,False
2020-02-16 15:00:00,46,15,False
2020-02-16 16:00:00,33,12,False
2020-02-16 17:00:00,43,12,False
2020-02-16 18:00:00,35,10,False
2020-02-16 19:00:00,56,10,False
2020-02-16 20:00:00,45,7,False
2020-02-16 21:00:00,41,4,False
2020-02-16 22:00:00,38,9,False
2020-02-16 23:00:00,66,19,False
2020-02-17 00:00:00,73,19,False
2020-02-17 01:00:00,42,9,False
2020-02-17 02:00:00,28,5,False
2020-02-17 03:00:00,47,14,False
2020-02-17 04:00:00,45,20,False
2020-02-17 05:00:00,48,0,False
2020-02-17 06:00:00,45,18,False
2020-02-17 07:00:00,45,12,False
2020-02-17 08:00:00,34,0,False
2020-02-17 09:00:00,57,4,False
2020-02-17 10:00:00,24,14,False
2020-02-17 11:00:00,29,7,False
2020-02-17 12:00:00,27,9,False
2020-02-17 13:00:00,33,6,False
2020-02-17 14:00:00,35,3,False
2020-02-17 15:00:00,30,3,False
2020-02-17 16:00:00,27,14,False
2020-02-17 17:00:00,36,8,False
2020-02-17 18:00:00,44,6,False
2020-02-17 19:00:00,55,9,False
2020-02-17 20:00:00,39,6,False
2020-02-17 21:00:00,25,7,False
2020-02-17 22:00:00,36,4,False
2020-02-17 23:00:00,32,14,False
2020-02-18 00:00:00,60,9,False
2020-02-18 01:00:00,48,4,False
2020-02-18 02:00:00,31,9,False
2020-02-18 03:00:00,28,0,False
2020-02-18 04:00:00,64,10,False
2020-02-18 05:00:00,74,40,False
2020-02-18 06:00:00,36,9,False
2020-02-18 07:00:00,20,12,False
2020-02-18 08:00:00,49,4,False
2020-02-18 09:00:00,32,11,False
2020-02-18 10:00:00,37,3,False
2020-02-18 11:00:00,47,16,False
2020-02-18 12:00:00,42,12,False
2020-02-18 13:00:00,52,11,False
2020-02-18 14:00:00,46,5,False
2020-02-18 15:00:00,42,10,False
2020-02-18 16:00:00,47,5,False
2020-02-18 17:00:00,63,14,False
2020-02-18 18:00:00,80,31,False
2020-02-18 19:00:00,67,3,False
2020-02-18 20:00:00,42,9,False
2020-02-18 21:00:00,46,7,False
2020-02-18 22:00:00,75,8,False
2020-02-18 23:00:00,66,4,False
2020-02-19 00:00:00,45,5,False
2020-02-19 01:00:00,40,13,False
2020-02-19 02:00:00,53,9,False
2020-02-19 03:00:00,37,19,False
2020-02-19 04:00:00,43,10,False
2020-02-19 05:00:00,39,5,False
2020-02-19 06:00:00,40,9,False
2020-02-19 07:00:00,57,8,False
2020-02-19 08:00:00,34,15,False
2020-02-19 09:00:00,39,4,False
2020-02-19 10:00:00,37,13,False
2020-02-19 11:00:00,22,22,False
2020-02-19 12:00:00,44,12,False
2020-02-19 13:00:00,42,11,False
2020-02-19 14:00:00,45,10,False
2020-02-19 15:00:00,37,5,False
2020-02-19 16:00:00,61,5,False
2020-02-19 17:00:00,63,8,False
2020-02-19 18:00:00,60,14,False
2020-02-19 19:00:00,73,15,False
2020-02-19 20:00:00,61,15,False
2020-02-19 21:00:00,50,20,False
2020-02-19 22:00:00,27,11,False
2020-02-19 23:00:00,62,13,False
