date,doge,dogecoin,isPartial
2020-07-03 23:00:00,11,2,False
2020-07-04 00:00:00,11,1,False
2020-07-04 01:00:00,10,0,False
2020-07-04 02:00:00,6,2,False
2020-07-04 03:00:00,11,3,False
2020-07-04 04:00:00,7,2,False
2020-07-04 05:00:00,8,0,False
2020-07-04 06:00:00,7,2,False
2020-07-04 07:00:00,6,2,False
2020-07-04 08:00:00,5,1,False
2020-07-04 09:00:00,2,1,False
2020-07-04 10:00:00,6,1,False
2020-07-04 11:00:00,7,1,False
2020-07-04 12:00:00,8,1,False
2020-07-04 13:00:00,3,1,False
2020-07-04 14:00:00,7,3,False
2020-07-04 15:00:00,7,1,False
2020-07-04 16:00:00,9,2,False
2020-07-04 17:00:00,5,1,False
2020-07-04 18:00:00,8,1,False
2020-07-04 19:00:00,5,2,False
2020-07-04 20:00:00,7,1,False
2020-07-04 21:00:00,8,1,False
2020-07-04 22:00:00,11,1,False
2020-07-04 23:00:00,8,3,False
2020-07-05 00:00:00,8,3,False
2020-07-05 01:00:00,8,1,False
2020-07-05 02:00:00,9,1,False
2020-07-05 03:00:00,6,3,False
2020-07-05 04:00:00,8,1,False
2020-07-05 05:00:00,12,1,False
2020-07-05 06:00:00,8,2,False
2020-07-05 07:00:00,8,2,False
2020-07-05 08:00:00,4,1,False
2020-07-05 09:00:00,5,1,False
2020-07-05 10:00:00,3,1,False
2020-07-05 11:00:00,8,1,False
2020-07-05 12:00:00,4,0,False
2020-07-05 13:00:00,7,1,False
2020-07-05 14:00:00,4,1,False
2020-07-05 15:00:00,7,1,False
2020-07-05 16:00:00,7,1,False
2020-07-05 17:00:00,8,1,False
2020-07-05 18:00:00,6,3,False
2020-07-05 19:00:00,7,1,False
2020-07-05 20:00:00,5,2,False
2020-07-05 21:00:00,10,2,False
2020-07-05 22:00:00,13,3,False
2020-07-05 23:00:00,4,1,False
2020-07-06 00:00:00,6,2,False
2020-07-06 01:00:00,6,2,False
2020-07-06 02:00:00,7,2,False
2020-07-06 03:00:00,8,3,False
2020-07-06 04:00:00,4,2,False
2020-07-06 05:00:00,5,1,False
2020-07-06 06:00:00,6,4,False
2020-07-06 07:00:00,6,4,False
2020-07-06 08:00:00,3,4,False
2020-07-06 09:00:00,4,1,False
2020-07-06 10:00:00,8,3,False
2020-07-06 11:00:00,3,2,False
2020-07-06 12:00:00,5,2,False
2020-07-06 13:00:00,4,4,False
2020-07-06 14:00:00,8,2,False
2020-07-06 15:00:00,5,6,False
2020-07-06 16:00:00,6,5,False
2020-07-06 17:00:00,7,4,False
2020-07-06 18:00:00,8,6,False
2020-07-06 19:00:00,7,4,False
2020-07-06 20:00:00,8,8,False
2020-07-06 21:00:00,8,6,False
2020-07-06 22:00:00,10,16,False
2020-07-06 23:00:00,10,15,False
2020-07-07 00:00:00,11,20,False
2020-07-07 01:00:00,8,18,False
2020-07-07 02:00:00,11,29,False
2020-07-07 03:00:00,17,31,False
2020-07-07 04:00:00,12,28,False
2020-07-07 05:00:00,13,18,False
2020-07-07 06:00:00,7,12,False
2020-07-07 07:00:00,8,12,False
2020-07-07 08:00:00,4,5,False
2020-07-07 09:00:00,7,6,False
2020-07-07 10:00:00,11,4,False
2020-07-07 11:00:00,5,7,False
2020-07-07 12:00:00,5,12,False
2020-07-07 13:00:00,6,7,False
2020-07-07 14:00:00,10,12,False
2020-07-07 15:00:00,12,13,False
2020-07-07 16:00:00,11,9,False
2020-07-07 17:00:00,9,11,False
2020-07-07 18:00:00,10,10,False
2020-07-07 19:00:00,10,14,False
2020-07-07 20:00:00,11,8,False
2020-07-07 21:00:00,8,14,False
2020-07-07 22:00:00,12,23,False
2020-07-07 23:00:00,11,19,False
2020-07-08 00:00:00,13,29,False
2020-07-08 01:00:00,14,36,False
2020-07-08 02:00:00,21,91,False
2020-07-08 03:00:00,35,100,False
2020-07-08 04:00:00,24,70,False
2020-07-08 05:00:00,15,55,False
2020-07-08 06:00:00,12,41,False
2020-07-08 07:00:00,10,33,False
2020-07-08 08:00:00,7,21,False
2020-07-08 09:00:00,11,15,False
2020-07-08 10:00:00,10,18,False
2020-07-08 11:00:00,12,28,False
2020-07-08 12:00:00,10,29,False
2020-07-08 13:00:00,14,23,False
2020-07-08 14:00:00,12,28,False
2020-07-08 15:00:00,13,25,False
2020-07-08 16:00:00,9,20,False
2020-07-08 17:00:00,9,19,False
2020-07-08 18:00:00,15,27,False
2020-07-08 19:00:00,15,46,False
2020-07-08 20:00:00,19,72,False
2020-07-08 21:00:00,20,67,False
2020-07-08 22:00:00,19,48,False
2020-07-08 23:00:00,17,58,False
