date,doge,dogecoin,isPartial
2020-01-10 23:00:00,55,8,False
2020-01-11 00:00:00,25,12,False
2020-01-11 01:00:00,63,29,False
2020-01-11 02:00:00,38,17,False
2020-01-11 03:00:00,40,9,False
2020-01-11 04:00:00,32,9,False
2020-01-11 05:00:00,57,9,False
2020-01-11 06:00:00,28,5,False
2020-01-11 07:00:00,34,13,False
2020-01-11 08:00:00,23,12,False
2020-01-11 09:00:00,29,4,False
2020-01-11 10:00:00,31,3,False
2020-01-11 11:00:00,33,7,False
2020-01-11 12:00:00,34,9,False
2020-01-11 13:00:00,17,3,False
2020-01-11 14:00:00,24,8,False
2020-01-11 15:00:00,59,5,False
2020-01-11 16:00:00,31,5,False
2020-01-11 17:00:00,55,3,False
2020-01-11 18:00:00,25,5,False
2020-01-11 19:00:00,35,9,False
2020-01-11 20:00:00,21,18,False
2020-01-11 21:00:00,51,6,False
2020-01-11 22:00:00,69,21,False
2020-01-11 23:00:00,54,0,False
2020-01-12 00:00:00,37,20,False
2020-01-12 01:00:00,46,8,False
2020-01-12 02:00:00,29,13,False
2020-01-12 03:00:00,55,0,False
2020-01-12 04:00:00,37,9,False
2020-01-12 05:00:00,53,5,False
2020-01-12 06:00:00,33,14,False
2020-01-12 07:00:00,31,22,False
2020-01-12 08:00:00,24,16,False
2020-01-12 09:00:00,36,11,False
2020-01-12 10:00:00,45,7,False
2020-01-12 11:00:00,23,6,False
2020-01-12 12:00:00,28,6,False
2020-01-12 13:00:00,40,6,False
2020-01-12 14:00:00,22,11,False
2020-01-12 15:00:00,34,5,False
2020-01-12 16:00:00,44,10,False
2020-01-12 17:00:00,37,13,False
2020-01-12 18:00:00,44,5,False
2020-01-12 19:00:00,31,11,False
2020-01-12 20:00:00,37,14,False
2020-01-12 21:00:00,38,13,False
2020-01-12 22:00:00,49,11,False
2020-01-12 23:00:00,32,4,False
2020-01-13 00:00:00,28,8,False
2020-01-13 01:00:00,59,4,False
2020-01-13 02:00:00,39,12,False
2020-01-13 03:00:00,40,12,False
2020-01-13 04:00:00,21,8,False
2020-01-13 05:00:00,30,4,False
2020-01-13 06:00:00,27,8,False
2020-01-13 07:00:00,21,7,False
2020-01-13 08:00:00,39,0,False
2020-01-13 09:00:00,31,0,False
2020-01-13 10:00:00,29,9,False
2020-01-13 11:00:00,38,3,False
2020-01-13 12:00:00,40,7,False
2020-01-13 13:00:00,28,9,False
2020-01-13 14:00:00,39,12,False
2020-01-13 15:00:00,26,6,False
2020-01-13 16:00:00,49,8,False
2020-01-13 17:00:00,50,8,False
2020-01-13 18:00:00,45,6,False
2020-01-13 19:00:00,25,7,False
2020-01-13 20:00:00,49,5,False
2020-01-13 21:00:00,39,8,False
2020-01-13 22:00:00,39,3,False
2020-01-13 23:00:00,53,7,False
2020-01-14 00:00:00,48,7,False
2020-01-14 01:00:00,30,13,False
2020-01-14 02:00:00,44,30,False
2020-01-14 03:00:00,59,7,False
2020-01-14 04:00:00,63,22,False
2020-01-14 05:00:00,37,7,False
2020-01-14 06:00:00,38,17,False
2020-01-14 07:00:00,16,6,False
2020-01-14 08:00:00,26,9,False
2020-01-14 09:00:00,14,19,False
2020-01-14 10:00:00,28,8,False
2020-01-14 11:00:00,30,12,False
2020-01-14 12:00:00,43,2,False
2020-01-14 13:00:00,48,8,False
2020-01-14 14:00:00,36,10,False
2020-01-14 15:00:00,52,8,False
2020-01-14 16:00:00,59,4,False
2020-01-14 17:00:00,38,13,False
2020-01-14 18:00:00,72,15,False
2020-01-14 19:00:00,52,9,False
2020-01-14 20:00:00,65,10,False
2020-01-14 21:00:00,33,21,False
2020-01-14 22:00:00,21,6,False
2020-01-14 23:00:00,44,7,False
2020-01-15 00:00:00,59,14,False
2020-01-15 01:00:00,51,7,False
2020-01-15 02:00:00,21,21,False
2020-01-15 03:00:00,35,4,False
2020-01-15 04:00:00,26,4,False
2020-01-15 05:00:00,27,15,False
2020-01-15 06:00:00,21,11,False
2020-01-15 07:00:00,42,21,False
2020-01-15 08:00:00,23,7,False
2020-01-15 09:00:00,34,6,False
2020-01-15 10:00:00,36,18,False
2020-01-15 11:00:00,28,6,False
2020-01-15 12:00:00,42,13,False
2020-01-15 13:00:00,24,14,False
2020-01-15 14:00:00,32,16,False
2020-01-15 15:00:00,41,11,False
2020-01-15 16:00:00,37,11,False
2020-01-15 17:00:00,50,12,False
2020-01-15 18:00:00,74,5,False
2020-01-15 19:00:00,76,10,False
2020-01-15 20:00:00,64,11,False
2020-01-15 21:00:00,44,15,False
2020-01-15 22:00:00,55,3,False
2020-01-15 23:00:00,46,15,False
