date,doge,dogecoin,isPartial
2020-02-29 23:00:00,35,4,False
2020-03-01 00:00:00,40,9,False
2020-03-01 01:00:00,36,23,False
2020-03-01 02:00:00,32,19,False
2020-03-01 03:00:00,23,5,False
2020-03-01 04:00:00,59,5,False
2020-03-01 05:00:00,60,15,False
2020-03-01 06:00:00,34,20,False
2020-03-01 07:00:00,44,9,False
2020-03-01 08:00:00,8,4,False
2020-03-01 09:00:00,30,23,False
2020-03-01 10:00:00,37,11,False
2020-03-01 11:00:00,32,7,False
2020-03-01 12:00:00,47,10,False
2020-03-01 13:00:00,55,3,False
2020-03-01 14:00:00,43,0,False
2020-03-01 15:00:00,39,8,False
2020-03-01 16:00:00,41,8,False
2020-03-01 17:00:00,50,6,False
2020-03-01 18:00:00,38,3,False
2020-03-01 19:00:00,75,0,False
2020-03-01 20:00:00,30,9,False
2020-03-01 21:00:00,33,3,False
2020-03-01 22:00:00,23,4,False
2020-03-01 23:00:00,34,21,False
2020-03-02 00:00:00,53,27,False
2020-03-02 01:00:00,51,13,False
2020-03-02 02:00:00,55,0,False
2020-03-02 03:00:00,61,18,False
2020-03-02 04:00:00,59,9,False
2020-03-02 05:00:00,36,14,False
2020-03-02 06:00:00,20,0,False
2020-03-02 07:00:00,49,11,False
2020-03-02 08:00:00,44,3,False
2020-03-02 09:00:00,32,10,False
2020-03-02 10:00:00,22,6,False
2020-03-02 11:00:00,18,6,False
2020-03-02 12:00:00,52,6,False
2020-03-02 13:00:00,28,13,False
2020-03-02 14:00:00,48,7,False
2020-03-02 15:00:00,76,17,False
2020-03-02 16:00:00,79,5,False
2020-03-02 17:00:00,52,8,False
2020-03-02 18:00:00,58,5,False
2020-03-02 19:00:00,56,8,False
2020-03-02 20:00:00,71,6,False
2020-03-02 21:00:00,44,16,False
2020-03-02 22:00:00,39,0,False
2020-03-02 23:00:00,28,8,False
2020-03-03 00:00:00,74,21,False
2020-03-03 01:00:00,45,8,False
2020-03-03 02:00:00,49,0,False
2020-03-03 03:00:00,77,0,False
2020-03-03 04:00:00,45,5,False
2020-03-03 05:00:00,44,23,False
2020-03-03 06:00:00,32,0,False
2020-03-03 07:00:00,37,11,False
2020-03-03 08:00:00,20,10,False
2020-03-03 09:00:00,42,13,False
2020-03-03 10:00:00,19,10,False
2020-03-03 11:00:00,44,15,False
2020-03-03 12:00:00,38,17,False
2020-03-03 13:00:00,48,21,False
2020-03-03 14:00:00,56,12,False
2020-03-03 15:00:00,47,24,False
2020-03-03 16:00:00,74,7,False
2020-03-03 17:00:00,67,15,False
2020-03-03 18:00:00,70,24,False
2020-03-03 19:00:00,52,11,False
2020-03-03 20:00:00,59,43,False
2020-03-03 21:00:00,52,38,False
2020-03-03 22:00:00,56,22,False
2020-03-03 23:00:00,44,24,False
2020-03-04 00:00:00,36,8,False
2020-03-04 01:00:00,31,28,False
2020-03-04 02:00:00,59,20,False
2020-03-04 03:00:00,66,25,False
2020-03-04 04:00:00,100,18,False
2020-03-04 05:00:00,43,9,False
2020-03-04 06:00:00,24,24,False
2020-03-04 07:00:00,44,15,False
2020-03-04 08:00:00,51,10,False
2020-03-04 09:00:00,45,10,False
2020-03-04 10:00:00,31,16,False
2020-03-04 11:00:00,23,24,False
2020-03-04 12:00:00,32,11,False
2020-03-04 13:00:00,56,16,False
2020-03-04 14:00:00,53,12,False
2020-03-04 15:00:00,54,27,False
2020-03-04 16:00:00,55,25,False
2020-03-04 17:00:00,69,15,False
2020-03-04 18:00:00,70,13,False
2020-03-04 19:00:00,75,36,False
2020-03-04 20:00:00,54,15,False
2020-03-04 21:00:00,44,32,False
2020-03-04 22:00:00,64,29,False
2020-03-04 23:00:00,56,8,False
2020-03-05 00:00:00,41,25,False
2020-03-05 01:00:00,53,16,False
2020-03-05 02:00:00,33,8,False
2020-03-05 03:00:00,21,8,False
2020-03-05 04:00:00,57,13,False
2020-03-05 05:00:00,44,22,False
2020-03-05 06:00:00,36,28,False
2020-03-05 07:00:00,33,11,False
2020-03-05 08:00:00,24,3,False
2020-03-05 09:00:00,30,7,False
2020-03-05 10:00:00,38,16,False
2020-03-05 11:00:00,38,15,False
2020-03-05 12:00:00,33,8,False
2020-03-05 13:00:00,41,3,False
2020-03-05 14:00:00,48,7,False
2020-03-05 15:00:00,83,5,False
2020-03-05 16:00:00,66,17,False
2020-03-05 17:00:00,66,10,False
2020-03-05 18:00:00,32,11,False
2020-03-05 19:00:00,64,11,False
2020-03-05 20:00:00,49,17,False
2020-03-05 21:00:00,58,16,False
2020-03-05 22:00:00,55,11,False
2020-03-05 23:00:00,66,12,False
