date,doge,dogecoin,isPartial
2020-08-17 23:00:00,58,35,False
2020-08-18 00:00:00,58,27,False
2020-08-18 01:00:00,53,8,False
2020-08-18 02:00:00,31,27,False
2020-08-18 03:00:00,78,12,False
2020-08-18 04:00:00,52,12,False
2020-08-18 05:00:00,58,15,False
2020-08-18 06:00:00,35,7,False
2020-08-18 07:00:00,46,13,False
2020-08-18 08:00:00,54,10,False
2020-08-18 09:00:00,24,12,False
2020-08-18 10:00:00,44,24,False
2020-08-18 11:00:00,34,16,False
2020-08-18 12:00:00,33,3,False
2020-08-18 13:00:00,38,9,False
2020-08-18 14:00:00,69,14,False
2020-08-18 15:00:00,51,7,False
2020-08-18 16:00:00,40,0,False
2020-08-18 17:00:00,51,7,False
2020-08-18 18:00:00,47,12,False
2020-08-18 19:00:00,46,13,False
2020-08-18 20:00:00,47,28,False
2020-08-18 21:00:00,54,6,False
2020-08-18 22:00:00,65,22,False
2020-08-18 23:00:00,77,4,False
2020-08-19 00:00:00,54,19,False
2020-08-19 01:00:00,60,19,False
2020-08-19 02:00:00,60,15,False
2020-08-19 03:00:00,36,24,False
2020-08-19 04:00:00,40,12,False
2020-08-19 05:00:00,23,15,False
2020-08-19 06:00:00,53,7,False
2020-08-19 07:00:00,26,13,False
2020-08-19 08:00:00,41,13,False
2020-08-19 09:00:00,37,19,False
2020-08-19 10:00:00,48,12,False
2020-08-19 11:00:00,22,11,False
2020-08-19 12:00:00,40,5,False
2020-08-19 13:00:00,58,14,False
2020-08-19 14:00:00,50,12,False
2020-08-19 15:00:00,39,17,False
2020-08-19 16:00:00,52,5,False
2020-08-19 17:00:00,34,18,False
2020-08-19 18:00:00,50,5,False
2020-08-19 19:00:00,33,15,False
2020-08-19 20:00:00,66,17,False
2020-08-19 21:00:00,44,10,False
2020-08-19 22:00:00,58,26,False
2020-08-19 23:00:00,100,20,False
2020-08-20 00:00:00,58,0,False
2020-08-20 01:00:00,38,8,False
2020-08-20 02:00:00,51,16,False
2020-08-20 03:00:00,40,4,False
2020-08-20 04:00:00,29,8,False
2020-08-20 05:00:00,43,16,False
2020-08-20 06:00:00,35,11,False
2020-08-20 07:00:00,59,13,False
2020-08-20 08:00:00,54,7,False
2020-08-20 09:00:00,16,6,False
2020-08-20 10:00:00,33,9,False
2020-08-20 11:00:00,20,0,False
2020-08-20 12:00:00,47,8,False
2020-08-20 13:00:00,27,10,False
2020-08-20 14:00:00,55,12,False
2020-08-20 15:00:00,47,12,False
2020-08-20 16:00:00,46,7,False
2020-08-20 17:00:00,47,8,False
2020-08-20 18:00:00,81,11,False
2020-08-20 19:00:00,57,14,False
2020-08-20 20:00:00,44,12,False
2020-08-20 21:00:00,38,13,False
2020-08-20 22:00:00,73,37,False
2020-08-20 23:00:00,27,8,False
2020-08-21 00:00:00,55,12,False
2020-08-21 01:00:00,46,0,False
2020-08-21 02:00:00,47,8,False
2020-08-21 03:00:00,52,12,False
2020-08-21 04:00:00,58,34,False
2020-08-21 05:00:00,44,12,False
2020-08-21 06:00:00,22,4,False
2020-08-21 07:00:00,40,14,False
2020-08-21 08:00:00,36,7,False
2020-08-21 09:00:00,50,13,False
2020-08-21 10:00:00,44,6,False
2020-08-21 11:00:00,29,9,False
2020-08-21 12:00:00,34,3,False
2020-08-21 13:00:00,70,7,False
2020-08-21 14:00:00,42,24,False
2020-08-21 15:00:00,62,12,False
2020-08-21 16:00:00,58,20,False
2020-08-21 17:00:00,56,5,False
2020-08-21 18:00:00,56,14,False
2020-08-21 19:00:00,82,14,False
2020-08-21 20:00:00,56,6,False
2020-08-21 21:00:00,63,14,False
2020-08-21 22:00:00,68,4,False
2020-08-21 23:00:00,36,4,False
2020-08-22 00:00:00,54,8,False
2020-08-22 01:00:00,50,4,False
2020-08-22 02:00:00,38,17,False
2020-08-22 03:00:00,66,22,False
2020-08-22 04:00:00,41,27,False
2020-08-22 05:00:00,48,9,False
2020-08-22 06:00:00,52,8,False
2020-08-22 07:00:00,43,19,False
2020-08-22 08:00:00,38,11,False
2020-08-22 09:00:00,66,4,False
2020-08-22 10:00:00,49,17,False
2020-08-22 11:00:00,26,22,False
2020-08-22 12:00:00,27,9,False
2020-08-22 13:00:00,55,17,False
2020-08-22 14:00:00,44,8,False
2020-08-22 15:00:00,51,11,False
2020-08-22 16:00:00,43,8,False
2020-08-22 17:00:00,37,8,False
2020-08-22 18:00:00,55,3,False
2020-08-22 19:00:00,34,3,False
2020-08-22 20:00:00,59,7,False
2020-08-22 21:00:00,79,7,False
2020-08-22 22:00:00,39,27,False
2020-08-22 23:00:00,50,12,False
