,datetime,btc_google_adjusted,bitcoin_google_adjusted,eth_google_adjusted,ethereum_google_adjusted,doge_google_adjusted,dogecoin_google_adjusted,BTCUSD_close,BTCUSD_high,BTCUSD_low,BTCUSD_open,ETHUSD_close,ETHUSD_high,ETHUSD_low,ETHUSD_open,DOGEUSD_close,DOGEUSD_high,DOGEUSD_low,DOGEUSD_open,BTC_transactions,BTC_av_trans_value_USD,BTC_tweets,BTC_google_trends,ETH_transactions,ETH_av_trans_value_USD,ETH_tweets,ETH_google_trends,DOGE_transactions,DOGE_av_trans_value_USD,DOGE_tweets,DOGE_google_trends
0,2021-01-01,37.71535438876096,28.64214273387997,22.5956859009156,15.0608850224461,2.0123797352298407,0.4182170712940088,29374.15188907,29594.35158927,28816.4440667622,28994.00891641069,730.36756913,748.88163069,719.79225795,737.7083777778028,0.00568496,0.00568496,0.00461583631369,0.00467808209881,257931.0,181787.0,55480.0,139.53,1136582.0,1634.0,6939.0,23.508,34595.0,3697.0,2669.0,0.5
1,2021-01-02,60.547519601688,47.591569718238496,31.190363973656503,21.83322929428428,5.907308255029533,3.839232714479001,32127.26793922,33155.118819421725,29115.168570081747,29376.45583414012,774.53496804,786.7521405743627,719.60124785,730.4026732932081,0.01061451,0.01328770120827,0.00559888284238,0.00569382401218,296960.0,223687.0,145059.0,243.368,1170839.0,1650.0,8771.0,31.453,57582.0,25652.0,69495.0,4.235
2,2021-01-03,73.40118298081731,60.03446779115357,58.49926043059131,41.30793073270452,6.145331664572847,3.901965275173103,32782.02446581,34596.0547606818,32055.91769427916,32129.407355601244,975.50767291,1006.5284339814968,771.5616454797407,774.511864974735,0.00977052,0.01375015,0.0094149,0.01052443072046,358958.0,206058.0,141596.0,285.763,1234419.0,4064.0,19081.0,62.154,45008.0,41754.0,34797.0,3.678
3,2021-01-04,59.87101100278647,49.40266539461967,73.74788281771228,51.61806678833876,3.527074159596387,1.660321773037215,31971.91352155,33432.592143811155,28722.75527058,32895.56311756893,1040.23304833,1152.82766392,912.30533777,982.001164161216,0.00976719,0.01133864434033,0.00791094,0.00984037466214,373561.0,163866.0,82412.0,235.192,1275169.0,6059.0,20818.0,74.619,39268.0,29734.0,18656.0,1.637
4,2021-01-05,46.39157716967324,40.91734676268567,53.89694894647844,38.6208936397737,2.819928248334977,0.9805337461402064,33992.42934365,34437.590591803695,30261.62619549,32177.46713110628,1100.00609944,1123.10028972,988.1479711359711,1060.279090269242,0.0099204,0.01020328,0.00897584,0.00976688488604,353934.0,201248.0,68133.0,195.552,1258347.0,4016.0,12811.0,57.702,33127.0,28718.0,13411.0,1.182
5,2021-01-06,54.74645836610728,45.88109046832295,57.26550825563335,42.571427798345965,2.5291069188565998,0.9767221475157548,36824.36441009,36862.67691533132,33570.45123566861,34071.476024177195,1207.11223389,1209.4285477517703,1064.233350833936,1105.078540580315,0.01046514,0.01079124592082,0.00972784,0.01003225253047,397207.0,186932.0,86631.0,222.708,1280434.0,5019.0,13526.0,61.167,31141.0,17134.0,16950.0,1.202
6,2021-01-07,77.1727184196934,65.28888117324708,65.00071852110015,49.9123457497228,2.767995868070981,0.9557583550812704,39371.04235311,40114.68232596,36597.310724590985,36842.62458650817,1225.67813488,1282.24960052,1171.98339381,1211.49398901875,0.00974244,0.01052859583051,0.00916241454321,0.01045203573126,401576.0,261365.0,125036.0,320.982,1298568.0,5311.0,11368.0,72.725,32604.0,16114.0,7147.0,1.177
7,2021-01-08,73.65487370540538,66.94346240845951,56.26741660847634,48.05500506322986,2.9082132947837693,1.0053091371991427,40797.61071993,41941.56454891,36838.63599636845,39389.992699569295,1224.19714489,1273.82750425,1076.0815357726417,1226.0021963459285,0.00984637,0.01026178,0.00898862752157,0.00976181239497,358378.0,279559.0,113560.0,326.105,1288953.0,5550.0,10659.0,71.069,29951.0,17867.0,6801.0,1.176
8,2021-01-09,57.82457249110929,51.87335764449769,49.28077507837728,39.18104400554141,3.5989139522949154,1.2835558367841189,40254.54649816,41427.55484278,38980.87690625,40741.45594321101,1281.07729102,1300.2834637100125,1184.15114233,1222.3059737485976,0.01019416,0.01074016098677,0.00974038,0.00978897690944,321250.0,241819.0,84725.0,247.748,1231593.0,3203.0,9498.0,58.252,31095.0,10120.0,9789.0,1.36
9,2021-01-10,58.0444377857523,51.0718661106006,63.14014550493248,47.33043809212548,2.862401516479459,1.0059825196227958,38356.43950662,41420.19103255,36022.61212982,40254.21779757935,1262.24666381,1346.54244133,1194.71559903,1280.871042751054,0.00985959,0.01085596121103,0.00917681,0.01022336322091,331706.0,215775.0,74964.0,243.614,1210603.0,3655.0,12392.0,65.735,29614.0,8339.0,6988.0,1.312
10,2021-01-11,86.05894074484803,75.09081304380385,57.82422260159623,47.02655084915839,2.7130959232204708,0.8215265568568287,35566.65594049,38258.17316454735,30568.82111473,38258.17316454735,1090.14537315,1257.3147412125209,924.92258485,1257.3147412125209,0.00883453,0.00981875478889,0.00677014,0.00981875478889,333804.0,250597.0,109316.0,365.735,1280285.0,5703.0,14501.0,67.872,31669.0,22506.0,5357.0,0.74
11,2021-01-12,62.47838789438616,57.56119563290464,46.432959237304296,35.32689199492512,2.3718259957713554,0.5952192411943816,33922.9605815,36568.52697413702,32791.08129357,35470.64794681023,1043.43458391,1149.24028662,1015.72255832,1087.9253403390346,0.00806287,0.00914451,0.00790473587118,0.008778,336479.0,228942.0,83880.0,273.205,1165508.0,3448.0,10584.0,51.256,29236.0,11731.0,5747.0,0.678
12,2021-01-13,50.99042624928934,49.597018491895135,38.07936610349021,29.65433012620596,2.047619564694695,0.5115165354014216,37316.35939997,37599.96059774,32619.52717890885,34017.81750843523,1130.73940242,1133.59576082,999.6311302722406,1049.3977441758077,0.00861635,0.00863776,0.00778985,0.00807041738215,319015.0,193450.0,91811.0,236.667,1126532.0,3699.0,9061.0,41.027,29926.0,6332.0,6529.0,0.66
13,2021-01-14,52.60277174333802,51.11400461399218,45.23958878961657,30.641963665849023,2.49553634447166,0.6858971724700881,39187.32812109,39916.52979564674,36868.5632453,37412.38083359764,1218.45297846,1244.16302773,1093.80430836,1130.7274675123765,0.00939673,0.00999574734323,0.00834908,0.00868075024571,338662.0,219840.0,106170.0,240.816,1184534.0,6570.0,9367.0,43.761,32764.0,10936.0,5891.0,0.701
14,2021-01-15,50.62290632049884,44.03473604420596,39.432885832036455,28.320602782072584,2.3876485105894503,0.6463940298107518,36825.36585131,39569.89666505958,34681.911883294284,39160.79037971,1171.83461074,1250.43798491,1090.8215399767428,1232.31960774,0.00936903,0.0097696,0.00846978,0.00939348,343847.0,189178.0,70388.0,212.533,1227187.0,3665.0,16638.0,41.028,28008.0,14612.0,4112.0,0.672
15,2021-01-16,43.62817219190532,37.00791646268374,36.71034805744151,26.758960005713888,2.396257820122826,0.4830141214885066,36178.13890106,37850.18750942,35654.5751849,36821.64873200884,1233.53756838,1287.7812597213797,1162.816270702467,1171.4430604924437,0.00926465,0.00952494,0.00914228227058,0.00936656915046,308314.0,203033.0,62189.0,175.92,1193339.0,2943.0,9089.0,38.199,26756.0,6606.0,5671.0,0.744
16,2021-01-17,40.78285661417237,34.172533122771256,34.25128168038801,24.564218806507075,2.132238994432646,0.4031055681969412,35791.27792129,36686.08125474284,34069.32218533,36163.649232430245,1230.17227237,1265.644692988733,1174.38858189,1233.4533584734656,0.00906651,0.00936668355953,0.00884139813481,0.00922982617897,271741.0,187109.0,59161.0,165.076,1133096.0,2626.0,9528.0,35.561,26497.0,6124.0,5517.0,0.734
17,2021-01-18,37.226212142006176,31.92888195814486,32.758277094319816,21.841895588260154,1.9571830339206795,0.3934351063336307,36630.07568284,37293.90817279,34908.21387433,35792.236667659105,1257.27950247,1258.731371031156,1192.22272453,1230.3132854343005,0.0091711,0.00929433,0.00899157,0.00912338953127,313671.0,205468.0,69189.0,155.218,1217953.0,2918.0,11562.0,35.412,26705.0,6684.0,4029.0,0.734
18,2021-01-19,35.09222545870646,31.70698239241258,59.01759304928396,38.02811193241043,2.252769327899902,0.4229554636005784,36069.80639361,37712.36641101,36069.80639361,36642.23272356583,1377.29584154,1431.2483572729811,1254.5229925258875,1257.434542735648,0.0090982,0.00961281,0.00902368,0.00917722226171,324934.0,239498.0,70173.0,150.26,1252236.0,5997.0,30134.0,60.462,31596.0,5607.0,3223.0,0.731
19,2021-01-20,35.695777247922535,30.53458786144611,46.36083245200448,32.38993881893234,2.208287895310796,0.3948328792973771,35547.7508855,36376.57621064692,33594.35433511,35910.87562176554,1382.27409433,1405.73199718,1243.2999740439102,1368.3112077606768,0.00906009,0.00915288324191,0.00853094,0.00905384716861,314668.0,227649.0,61204.0,149.039,1213930.0,6384.0,14704.0,47.659,29854.0,8496.0,2550.0,0.728
20,2021-01-21,44.10239145486082,37.31133015460338,40.956290963974816,30.922301565966247,1.976553980370774,0.4009861189747388,30825.69850603,35529.43060459345,30330.05516700827,35529.43060459345,1121.57091957,1379.919190812344,1110.69285992,1379.919190812344,0.00816632,0.00908936,0.00806404728087,0.00908936,290625.0,250620.0,79347.0,180.044,1178190.0,4713.0,14809.0,43.187,26966.0,5530.0,3392.0,0.721
