date,eth,ethereum,isPartial
2021-04-29 23:00:00,11,34,False
2021-04-30 00:00:00,9,32,False
2021-04-30 01:00:00,7,28,False
2021-04-30 02:00:00,9,28,False
2021-04-30 03:00:00,8,34,False
2021-04-30 04:00:00,7,34,False
2021-04-30 05:00:00,11,30,False
2021-04-30 06:00:00,8,34,False
2021-04-30 07:00:00,10,31,False
2021-04-30 08:00:00,9,31,False
2021-04-30 09:00:00,10,30,False
2021-04-30 10:00:00,7,30,False
2021-04-30 11:00:00,11,31,False
2021-04-30 12:00:00,11,32,False
2021-04-30 13:00:00,8,30,False
2021-04-30 14:00:00,11,28,False
2021-04-30 15:00:00,8,29,False
2021-04-30 16:00:00,8,30,False
2021-04-30 17:00:00,9,29,False
2021-04-30 18:00:00,9,28,False
2021-04-30 19:00:00,9,37,False
2021-04-30 20:00:00,11,43,False
2021-04-30 21:00:00,11,34,False
2021-04-30 22:00:00,11,35,False
2021-04-30 23:00:00,10,30,False
2021-05-01 00:00:00,13,37,False
2021-05-01 01:00:00,10,25,False
2021-05-01 02:00:00,12,34,False
2021-05-01 03:00:00,10,33,False
2021-05-01 04:00:00,12,31,False
2021-05-01 05:00:00,10,38,False
2021-05-01 06:00:00,10,36,False
2021-05-01 07:00:00,8,41,False
2021-05-01 08:00:00,9,36,False
2021-05-01 09:00:00,11,31,False
2021-05-01 10:00:00,12,32,False
2021-05-01 11:00:00,9,38,False
2021-05-01 12:00:00,10,39,False
2021-05-01 13:00:00,13,37,False
2021-05-01 14:00:00,9,31,False
2021-05-01 15:00:00,8,34,False
2021-05-01 16:00:00,11,33,False
2021-05-01 17:00:00,14,39,False
2021-05-01 18:00:00,16,48,False
2021-05-01 19:00:00,12,48,False
2021-05-01 20:00:00,13,53,False
2021-05-01 21:00:00,14,55,False
2021-05-01 22:00:00,12,45,False
2021-05-01 23:00:00,15,48,False
2021-05-02 00:00:00,14,46,False
2021-05-02 01:00:00,13,45,False
2021-05-02 02:00:00,17,42,False
2021-05-02 03:00:00,9,45,False
2021-05-02 04:00:00,11,42,False
2021-05-02 05:00:00,10,39,False
2021-05-02 06:00:00,12,37,False
2021-05-02 07:00:00,11,35,False
2021-05-02 08:00:00,13,35,False
2021-05-02 09:00:00,10,33,False
2021-05-02 10:00:00,13,28,False
2021-05-02 11:00:00,10,40,False
2021-05-02 12:00:00,9,34,False
2021-05-02 13:00:00,9,36,False
2021-05-02 14:00:00,11,30,False
2021-05-02 15:00:00,11,34,False
2021-05-02 16:00:00,8,34,False
2021-05-02 17:00:00,10,39,False
2021-05-02 18:00:00,10,38,False
2021-05-02 19:00:00,14,52,False
2021-05-02 20:00:00,11,46,False
2021-05-02 21:00:00,15,45,False
2021-05-02 22:00:00,12,42,False
2021-05-02 23:00:00,10,38,False
2021-05-03 00:00:00,10,41,False
2021-05-03 01:00:00,18,51,False
2021-05-03 02:00:00,22,60,False
2021-05-03 03:00:00,19,61,False
2021-05-03 04:00:00,19,55,False
2021-05-03 05:00:00,20,60,False
2021-05-03 06:00:00,18,59,False
2021-05-03 07:00:00,22,59,False
2021-05-03 08:00:00,21,68,False
2021-05-03 09:00:00,20,70,False
2021-05-03 10:00:00,18,61,False
2021-05-03 11:00:00,18,59,False
2021-05-03 12:00:00,15,57,False
2021-05-03 13:00:00,18,60,False
2021-05-03 14:00:00,15,51,False
2021-05-03 15:00:00,15,56,False
2021-05-03 16:00:00,17,65,False
2021-05-03 17:00:00,29,78,False
2021-05-03 18:00:00,24,88,False
2021-05-03 19:00:00,23,87,False
2021-05-03 20:00:00,22,86,False
2021-05-03 21:00:00,21,82,False
2021-05-03 22:00:00,27,100,False
2021-05-03 23:00:00,29,100,False
2021-05-04 00:00:00,27,92,False
2021-05-04 01:00:00,18,75,False
2021-05-04 02:00:00,19,67,False
2021-05-04 03:00:00,18,70,False
2021-05-04 04:00:00,18,67,False
2021-05-04 05:00:00,19,66,False
2021-05-04 06:00:00,18,75,False
2021-05-04 07:00:00,18,60,False
2021-05-04 08:00:00,15,55,False
2021-05-04 09:00:00,17,55,False
2021-05-04 10:00:00,17,72,False
2021-05-04 11:00:00,20,68,False
2021-05-04 12:00:00,19,74,False
2021-05-04 13:00:00,23,79,False
2021-05-04 14:00:00,22,76,False
2021-05-04 15:00:00,19,76,False
2021-05-04 16:00:00,19,76,False
2021-05-04 17:00:00,17,75,False
2021-05-04 18:00:00,16,69,False
2021-05-04 19:00:00,18,68,False
2021-05-04 20:00:00,19,71,False
2021-05-04 21:00:00,18,73,False
2021-05-04 22:00:00,22,77,False
2021-05-04 23:00:00,17,70,False
