date,eth,ethereum,isPartial
2020-04-14 23:00:00,16,44,False
2020-04-15 00:00:00,38,32,False
2020-04-15 01:00:00,16,26,False
2020-04-15 02:00:00,30,20,False
2020-04-15 03:00:00,31,37,False
2020-04-15 04:00:00,31,42,False
2020-04-15 05:00:00,27,47,False
2020-04-15 06:00:00,55,55,False
2020-04-15 07:00:00,48,51,False
2020-04-15 08:00:00,30,46,False
2020-04-15 09:00:00,33,36,False
2020-04-15 10:00:00,45,42,False
2020-04-15 11:00:00,45,47,False
2020-04-15 12:00:00,34,50,False
2020-04-15 13:00:00,36,44,False
2020-04-15 14:00:00,34,38,False
2020-04-15 15:00:00,34,41,False
2020-04-15 16:00:00,32,44,False
2020-04-15 17:00:00,40,33,False
2020-04-15 18:00:00,33,47,False
2020-04-15 19:00:00,43,60,False
2020-04-15 20:00:00,36,50,False
2020-04-15 21:00:00,42,34,False
2020-04-15 22:00:00,37,40,False
2020-04-15 23:00:00,28,37,False
2020-04-16 00:00:00,22,51,False
2020-04-16 01:00:00,29,54,False
2020-04-16 02:00:00,29,13,False
2020-04-16 03:00:00,24,27,False
2020-04-16 04:00:00,21,32,False
2020-04-16 05:00:00,36,70,False
2020-04-16 06:00:00,33,60,False
2020-04-16 07:00:00,41,38,False
2020-04-16 08:00:00,57,78,False
2020-04-16 09:00:00,62,57,False
2020-04-16 10:00:00,59,69,False
2020-04-16 11:00:00,47,56,False
2020-04-16 12:00:00,42,55,False
2020-04-16 13:00:00,36,52,False
2020-04-16 14:00:00,33,41,False
2020-04-16 15:00:00,37,49,False
2020-04-16 16:00:00,41,51,False
2020-04-16 17:00:00,36,52,False
2020-04-16 18:00:00,37,57,False
2020-04-16 19:00:00,19,47,False
2020-04-16 20:00:00,42,61,False
2020-04-16 21:00:00,44,73,False
2020-04-16 22:00:00,26,91,False
2020-04-16 23:00:00,37,66,False
2020-04-17 00:00:00,32,64,False
2020-04-17 01:00:00,26,42,False
2020-04-17 02:00:00,16,39,False
2020-04-17 03:00:00,37,51,False
2020-04-17 04:00:00,45,52,False
2020-04-17 05:00:00,30,81,False
2020-04-17 06:00:00,60,69,False
2020-04-17 07:00:00,41,66,False
2020-04-17 08:00:00,59,51,False
2020-04-17 09:00:00,55,50,False
2020-04-17 10:00:00,39,54,False
2020-04-17 11:00:00,34,41,False
2020-04-17 12:00:00,42,40,False
2020-04-17 13:00:00,26,61,False
2020-04-17 14:00:00,49,51,False
2020-04-17 15:00:00,21,47,False
2020-04-17 16:00:00,30,36,False
2020-04-17 17:00:00,44,48,False
2020-04-17 18:00:00,38,55,False
2020-04-17 19:00:00,26,53,False
2020-04-17 20:00:00,33,33,False
2020-04-17 21:00:00,24,34,False
2020-04-17 22:00:00,12,68,False
2020-04-17 23:00:00,26,64,False
2020-04-18 00:00:00,30,33,False
2020-04-18 01:00:00,58,54,False
2020-04-18 02:00:00,31,62,False
2020-04-18 03:00:00,36,50,False
2020-04-18 04:00:00,52,41,False
2020-04-18 05:00:00,40,58,False
2020-04-18 06:00:00,51,64,False
2020-04-18 07:00:00,32,66,False
2020-04-18 08:00:00,46,55,False
2020-04-18 09:00:00,63,63,False
2020-04-18 10:00:00,44,47,False
2020-04-18 11:00:00,49,49,False
2020-04-18 12:00:00,53,78,False
2020-04-18 13:00:00,33,75,False
2020-04-18 14:00:00,40,69,False
2020-04-18 15:00:00,46,79,False
2020-04-18 16:00:00,44,64,False
2020-04-18 17:00:00,49,62,False
2020-04-18 18:00:00,51,83,False
2020-04-18 19:00:00,41,53,False
2020-04-18 20:00:00,43,68,False
2020-04-18 21:00:00,44,74,False
2020-04-18 22:00:00,48,100,False
2020-04-18 23:00:00,51,95,False
2020-04-19 00:00:00,49,91,False
2020-04-19 01:00:00,18,53,False
2020-04-19 02:00:00,25,72,False
2020-04-19 03:00:00,64,52,False
2020-04-19 04:00:00,38,80,False
2020-04-19 05:00:00,49,57,False
2020-04-19 06:00:00,39,56,False
2020-04-19 07:00:00,26,88,False
2020-04-19 08:00:00,43,98,False
2020-04-19 09:00:00,32,68,False
2020-04-19 10:00:00,32,59,False
2020-04-19 11:00:00,55,72,False
2020-04-19 12:00:00,28,62,False
2020-04-19 13:00:00,40,93,False
2020-04-19 14:00:00,43,52,False
2020-04-19 15:00:00,35,50,False
2020-04-19 16:00:00,43,87,False
2020-04-19 17:00:00,49,67,False
2020-04-19 18:00:00,39,65,False
2020-04-19 19:00:00,48,69,False
2020-04-19 20:00:00,44,62,False
2020-04-19 21:00:00,20,83,False
2020-04-19 22:00:00,19,72,False
2020-04-19 23:00:00,36,76,False
