date,eth,ethereum,isPartial
2020-03-15 23:00:00,23,72,False
2020-03-16 00:00:00,43,55,False
2020-03-16 01:00:00,24,42,False
2020-03-16 02:00:00,25,43,False
2020-03-16 03:00:00,44,43,False
2020-03-16 04:00:00,33,62,False
2020-03-16 05:00:00,20,70,False
2020-03-16 06:00:00,45,67,False
2020-03-16 07:00:00,44,56,False
2020-03-16 08:00:00,66,63,False
2020-03-16 09:00:00,57,58,False
2020-03-16 10:00:00,64,85,False
2020-03-16 11:00:00,61,100,False
2020-03-16 12:00:00,36,71,False
2020-03-16 13:00:00,43,48,False
2020-03-16 14:00:00,36,47,False
2020-03-16 15:00:00,29,64,False
2020-03-16 16:00:00,44,57,False
2020-03-16 17:00:00,44,30,False
2020-03-16 18:00:00,37,45,False
2020-03-16 19:00:00,35,50,False
2020-03-16 20:00:00,47,61,False
2020-03-16 21:00:00,30,81,False
2020-03-16 22:00:00,51,78,False
2020-03-16 23:00:00,34,53,False
2020-03-17 00:00:00,32,38,False
2020-03-17 01:00:00,41,63,False
2020-03-17 02:00:00,21,42,False
2020-03-17 03:00:00,25,43,False
2020-03-17 04:00:00,24,47,False
2020-03-17 05:00:00,29,96,False
2020-03-17 06:00:00,42,41,False
2020-03-17 07:00:00,36,38,False
2020-03-17 08:00:00,38,63,False
2020-03-17 09:00:00,58,51,False
2020-03-17 10:00:00,37,66,False
2020-03-17 11:00:00,44,52,False
2020-03-17 12:00:00,40,44,False
2020-03-17 13:00:00,34,61,False
2020-03-17 14:00:00,32,39,False
2020-03-17 15:00:00,29,56,False
2020-03-17 16:00:00,20,61,False
2020-03-17 17:00:00,53,45,False
2020-03-17 18:00:00,31,55,False
2020-03-17 19:00:00,26,69,False
2020-03-17 20:00:00,26,58,False
2020-03-17 21:00:00,13,53,False
2020-03-17 22:00:00,22,59,False
2020-03-17 23:00:00,35,35,False
2020-03-18 00:00:00,31,48,False
2020-03-18 01:00:00,28,34,False
2020-03-18 02:00:00,17,34,False
2020-03-18 03:00:00,21,65,False
2020-03-18 04:00:00,39,45,False
2020-03-18 05:00:00,38,54,False
2020-03-18 06:00:00,37,64,False
2020-03-18 07:00:00,38,59,False
2020-03-18 08:00:00,47,31,False
2020-03-18 09:00:00,46,62,False
2020-03-18 10:00:00,30,47,False
2020-03-18 11:00:00,33,63,False
2020-03-18 12:00:00,40,35,False
2020-03-18 13:00:00,31,54,False
2020-03-18 14:00:00,41,51,False
2020-03-18 15:00:00,40,38,False
2020-03-18 16:00:00,37,55,False
2020-03-18 17:00:00,34,47,False
2020-03-18 18:00:00,25,57,False
2020-03-18 19:00:00,23,44,False
2020-03-18 20:00:00,44,54,False
2020-03-18 21:00:00,31,49,False
2020-03-18 22:00:00,36,44,False
2020-03-18 23:00:00,35,52,False
2020-03-19 00:00:00,25,53,False
2020-03-19 01:00:00,25,45,False
2020-03-19 02:00:00,28,40,False
2020-03-19 03:00:00,12,21,False
2020-03-19 04:00:00,35,45,False
2020-03-19 05:00:00,44,44,False
2020-03-19 06:00:00,51,46,False
2020-03-19 07:00:00,41,57,False
2020-03-19 08:00:00,28,79,False
2020-03-19 09:00:00,42,40,False
2020-03-19 10:00:00,48,62,False
2020-03-19 11:00:00,42,67,False
2020-03-19 12:00:00,37,49,False
2020-03-19 13:00:00,42,61,False
2020-03-19 14:00:00,27,52,False
2020-03-19 15:00:00,43,48,False
2020-03-19 16:00:00,32,45,False
2020-03-19 17:00:00,42,74,False
2020-03-19 18:00:00,23,49,False
2020-03-19 19:00:00,45,61,False
2020-03-19 20:00:00,47,62,False
2020-03-19 21:00:00,26,53,False
2020-03-19 22:00:00,44,62,False
2020-03-19 23:00:00,29,67,False
2020-03-20 00:00:00,25,47,False
2020-03-20 01:00:00,31,58,False
2020-03-20 02:00:00,17,20,False
2020-03-20 03:00:00,24,33,False
2020-03-20 04:00:00,26,38,False
2020-03-20 05:00:00,29,38,False
2020-03-20 06:00:00,27,47,False
2020-03-20 07:00:00,55,64,False
2020-03-20 08:00:00,43,66,False
2020-03-20 09:00:00,45,76,False
2020-03-20 10:00:00,46,56,False
2020-03-20 11:00:00,49,63,False
2020-03-20 12:00:00,36,78,False
2020-03-20 13:00:00,30,42,False
2020-03-20 14:00:00,39,57,False
2020-03-20 15:00:00,38,54,False
2020-03-20 16:00:00,32,54,False
2020-03-20 17:00:00,19,48,False
2020-03-20 18:00:00,30,43,False
2020-03-20 19:00:00,27,69,False
2020-03-20 20:00:00,32,48,False
2020-03-20 21:00:00,20,62,False
2020-03-20 22:00:00,30,47,False
2020-03-20 23:00:00,25,76,False
