date,eth,ethereum,isPartial
2021-01-09 23:00:00,23,78,False
2021-01-10 00:00:00,21,83,False
2021-01-10 01:00:00,21,79,False
2021-01-10 02:00:00,27,89,False
2021-01-10 03:00:00,21,75,False
2021-01-10 04:00:00,23,88,False
2021-01-10 05:00:00,31,79,False
2021-01-10 06:00:00,28,65,False
2021-01-10 07:00:00,30,85,False
2021-01-10 08:00:00,26,81,False
2021-01-10 09:00:00,33,85,False
2021-01-10 10:00:00,27,79,False
2021-01-10 11:00:00,24,67,False
2021-01-10 12:00:00,24,69,False
2021-01-10 13:00:00,23,80,False
2021-01-10 14:00:00,19,59,False
2021-01-10 15:00:00,22,66,False
2021-01-10 16:00:00,23,77,False
2021-01-10 17:00:00,23,68,False
2021-01-10 18:00:00,24,76,False
2021-01-10 19:00:00,15,72,False
2021-01-10 20:00:00,29,98,False
2021-01-10 21:00:00,25,87,False
2021-01-10 22:00:00,23,88,False
2021-01-10 23:00:00,20,74,False
2021-01-11 00:00:00,21,71,False
2021-01-11 01:00:00,20,64,False
2021-01-11 02:00:00,16,62,False
2021-01-11 03:00:00,25,75,False
2021-01-11 04:00:00,24,73,False
2021-01-11 05:00:00,28,70,False
2021-01-11 06:00:00,26,93,False
2021-01-11 07:00:00,31,88,False
2021-01-11 08:00:00,22,77,False
2021-01-11 09:00:00,19,64,False
2021-01-11 10:00:00,21,63,False
2021-01-11 11:00:00,19,68,False
2021-01-11 12:00:00,17,65,False
2021-01-11 13:00:00,19,67,False
2021-01-11 14:00:00,22,88,False
2021-01-11 15:00:00,27,78,False
2021-01-11 16:00:00,30,96,False
2021-01-11 17:00:00,23,100,False
2021-01-11 18:00:00,22,76,False
2021-01-11 19:00:00,17,83,False
2021-01-11 20:00:00,21,82,False
2021-01-11 21:00:00,23,82,False
2021-01-11 22:00:00,24,91,False
2021-01-11 23:00:00,16,81,False
2021-01-12 00:00:00,17,66,False
2021-01-12 01:00:00,25,62,False
2021-01-12 02:00:00,19,59,False
2021-01-12 03:00:00,20,60,False
2021-01-12 04:00:00,20,70,False
2021-01-12 05:00:00,19,65,False
2021-01-12 06:00:00,18,67,False
2021-01-12 07:00:00,21,59,False
2021-01-12 08:00:00,20,63,False
2021-01-12 09:00:00,20,59,False
2021-01-12 10:00:00,16,51,False
2021-01-12 11:00:00,20,58,False
2021-01-12 12:00:00,17,55,False
2021-01-12 13:00:00,15,56,False
2021-01-12 14:00:00,16,54,False
2021-01-12 15:00:00,18,60,False
2021-01-12 16:00:00,19,47,False
2021-01-12 17:00:00,15,59,False
2021-01-12 18:00:00,14,54,False
2021-01-12 19:00:00,18,51,False
2021-01-12 20:00:00,13,55,False
2021-01-12 21:00:00,17,51,False
2021-01-12 22:00:00,15,53,False
2021-01-12 23:00:00,16,61,False
2021-01-13 00:00:00,16,56,False
2021-01-13 01:00:00,13,46,False
2021-01-13 02:00:00,13,48,False
2021-01-13 03:00:00,17,52,False
2021-01-13 04:00:00,13,46,False
2021-01-13 05:00:00,17,50,False
2021-01-13 06:00:00,14,45,False
2021-01-13 07:00:00,17,44,False
2021-01-13 08:00:00,17,49,False
2021-01-13 09:00:00,12,41,False
2021-01-13 10:00:00,15,44,False
2021-01-13 11:00:00,14,46,False
2021-01-13 12:00:00,13,47,False
2021-01-13 13:00:00,13,46,False
2021-01-13 14:00:00,16,46,False
2021-01-13 15:00:00,16,47,False
2021-01-13 16:00:00,13,46,False
2021-01-13 17:00:00,15,36,False
2021-01-13 18:00:00,14,47,False
2021-01-13 19:00:00,17,61,False
2021-01-13 20:00:00,14,50,False
2021-01-13 21:00:00,13,61,False
2021-01-13 22:00:00,14,54,False
2021-01-13 23:00:00,15,63,False
2021-01-14 00:00:00,17,51,False
2021-01-14 01:00:00,15,51,False
2021-01-14 02:00:00,17,36,False
2021-01-14 03:00:00,11,41,False
2021-01-14 04:00:00,16,43,False
2021-01-14 05:00:00,19,48,False
2021-01-14 06:00:00,17,44,False
2021-01-14 07:00:00,22,47,False
2021-01-14 08:00:00,25,49,False
2021-01-14 09:00:00,19,44,False
2021-01-14 10:00:00,18,40,False
2021-01-14 11:00:00,16,45,False
2021-01-14 12:00:00,17,46,False
2021-01-14 13:00:00,16,50,False
2021-01-14 14:00:00,20,51,False
2021-01-14 15:00:00,19,59,False
2021-01-14 16:00:00,21,55,False
2021-01-14 17:00:00,16,57,False
2021-01-14 18:00:00,14,62,False
2021-01-14 19:00:00,19,61,False
2021-01-14 20:00:00,16,59,False
2021-01-14 21:00:00,13,56,False
2021-01-14 22:00:00,17,60,False
2021-01-14 23:00:00,17,55,False
