date,eth,ethereum,isPartial
2021-08-12 23:00:00,25,68,False
2021-08-13 00:00:00,21,68,False
2021-08-13 01:00:00,21,62,False
2021-08-13 02:00:00,25,65,False
2021-08-13 03:00:00,32,65,False
2021-08-13 04:00:00,30,75,False
2021-08-13 05:00:00,34,80,False
2021-08-13 06:00:00,32,74,False
2021-08-13 07:00:00,36,63,False
2021-08-13 08:00:00,27,67,False
2021-08-13 09:00:00,32,73,False
2021-08-13 10:00:00,29,69,False
2021-08-13 11:00:00,24,66,False
2021-08-13 12:00:00,25,71,False
2021-08-13 13:00:00,25,66,False
2021-08-13 14:00:00,20,73,False
2021-08-13 15:00:00,19,64,False
2021-08-13 16:00:00,23,65,False
2021-08-13 17:00:00,19,75,False
2021-08-13 18:00:00,22,66,False
2021-08-13 19:00:00,24,79,False
2021-08-13 20:00:00,24,90,False
2021-08-13 21:00:00,27,100,False
2021-08-13 22:00:00,24,78,False
2021-08-13 23:00:00,28,91,False
2021-08-14 00:00:00,25,82,False
2021-08-14 01:00:00,25,85,False
2021-08-14 02:00:00,25,85,False
2021-08-14 03:00:00,32,78,False
2021-08-14 04:00:00,27,69,False
2021-08-14 05:00:00,29,77,False
2021-08-14 06:00:00,36,66,False
2021-08-14 07:00:00,29,79,False
2021-08-14 08:00:00,30,83,False
2021-08-14 09:00:00,28,79,False
2021-08-14 10:00:00,24,70,False
2021-08-14 11:00:00,29,66,False
2021-08-14 12:00:00,28,71,False
2021-08-14 13:00:00,27,61,False
2021-08-14 14:00:00,26,68,False
2021-08-14 15:00:00,27,73,False
2021-08-14 16:00:00,25,63,False
2021-08-14 17:00:00,20,71,False
2021-08-14 18:00:00,25,61,False
2021-08-14 19:00:00,19,64,False
2021-08-14 20:00:00,23,69,False
2021-08-14 21:00:00,18,77,False
2021-08-14 22:00:00,34,65,False
2021-08-14 23:00:00,21,75,False
2021-08-15 00:00:00,18,65,False
2021-08-15 01:00:00,29,61,False
2021-08-15 02:00:00,30,72,False
2021-08-15 03:00:00,30,70,False
2021-08-15 04:00:00,22,61,False
2021-08-15 05:00:00,32,65,False
2021-08-15 06:00:00,22,62,False
2021-08-15 07:00:00,25,65,False
2021-08-15 08:00:00,26,64,False
2021-08-15 09:00:00,28,61,False
2021-08-15 10:00:00,33,58,False
2021-08-15 11:00:00,24,57,False
2021-08-15 12:00:00,28,59,False
2021-08-15 13:00:00,22,74,False
2021-08-15 14:00:00,18,64,False
2021-08-15 15:00:00,25,53,False
2021-08-15 16:00:00,25,65,False
2021-08-15 17:00:00,27,67,False
2021-08-15 18:00:00,23,63,False
2021-08-15 19:00:00,20,63,False
2021-08-15 20:00:00,24,86,False
2021-08-15 21:00:00,17,80,False
2021-08-15 22:00:00,25,83,False
2021-08-15 23:00:00,34,84,False
2021-08-16 00:00:00,23,65,False
2021-08-16 01:00:00,32,67,False
2021-08-16 02:00:00,28,69,False
2021-08-16 03:00:00,28,67,False
2021-08-16 04:00:00,36,71,False
2021-08-16 05:00:00,23,83,False
2021-08-16 06:00:00,28,65,False
2021-08-16 07:00:00,28,69,False
2021-08-16 08:00:00,28,67,False
2021-08-16 09:00:00,30,62,False
2021-08-16 10:00:00,26,69,False
2021-08-16 11:00:00,24,72,False
2021-08-16 12:00:00,29,68,False
2021-08-16 13:00:00,26,64,False
2021-08-16 14:00:00,25,74,False
2021-08-16 15:00:00,25,70,False
2021-08-16 16:00:00,27,60,False
2021-08-16 17:00:00,21,68,False
2021-08-16 18:00:00,22,64,False
2021-08-16 19:00:00,24,71,False
2021-08-16 20:00:00,25,83,False
2021-08-16 21:00:00,27,69,False
2021-08-16 22:00:00,19,73,False
2021-08-16 23:00:00,16,69,False
2021-08-17 00:00:00,22,63,False
2021-08-17 01:00:00,19,56,False
2021-08-17 02:00:00,23,64,False
2021-08-17 03:00:00,23,68,False
2021-08-17 04:00:00,23,62,False
2021-08-17 05:00:00,23,57,False
2021-08-17 06:00:00,26,69,False
2021-08-17 07:00:00,26,63,False
2021-08-17 08:00:00,19,48,False
2021-08-17 09:00:00,26,61,False
2021-08-17 10:00:00,28,58,False
2021-08-17 11:00:00,19,67,False
2021-08-17 12:00:00,22,62,False
2021-08-17 13:00:00,23,65,False
2021-08-17 14:00:00,20,61,False
2021-08-17 15:00:00,25,58,False
2021-08-17 16:00:00,22,60,False
2021-08-17 17:00:00,23,62,False
2021-08-17 18:00:00,22,66,False
2021-08-17 19:00:00,17,77,False
2021-08-17 20:00:00,25,81,False
2021-08-17 21:00:00,27,80,False
2021-08-17 22:00:00,24,74,False
2021-08-17 23:00:00,24,67,False
