date,eth,ethereum,isPartial
2020-11-30 23:00:00,39,100,False
2020-12-01 00:00:00,33,82,False
2020-12-01 01:00:00,40,82,False
2020-12-01 02:00:00,40,74,False
2020-12-01 03:00:00,31,82,False
2020-12-01 04:00:00,49,91,False
2020-12-01 05:00:00,33,84,False
2020-12-01 06:00:00,40,88,False
2020-12-01 07:00:00,46,89,False
2020-12-01 08:00:00,43,76,False
2020-12-01 09:00:00,36,80,False
2020-12-01 10:00:00,46,80,False
2020-12-01 11:00:00,49,68,False
2020-12-01 12:00:00,47,91,False
2020-12-01 13:00:00,41,83,False
2020-12-01 14:00:00,58,81,False
2020-12-01 15:00:00,50,82,False
2020-12-01 16:00:00,30,70,False
2020-12-01 17:00:00,30,78,False
2020-12-01 18:00:00,21,62,False
2020-12-01 19:00:00,41,70,False
2020-12-01 20:00:00,28,76,False
2020-12-01 21:00:00,23,63,False
2020-12-01 22:00:00,31,72,False
2020-12-01 23:00:00,32,59,False
2020-12-02 00:00:00,30,57,False
2020-12-02 01:00:00,35,79,False
2020-12-02 02:00:00,20,58,False
2020-12-02 03:00:00,32,50,False
2020-12-02 04:00:00,30,57,False
2020-12-02 05:00:00,35,51,False
2020-12-02 06:00:00,27,58,False
2020-12-02 07:00:00,35,60,False
2020-12-02 08:00:00,28,48,False
2020-12-02 09:00:00,47,51,False
2020-12-02 10:00:00,36,62,False
2020-12-02 11:00:00,26,52,False
2020-12-02 12:00:00,29,51,False
2020-12-02 13:00:00,17,43,False
2020-12-02 14:00:00,26,57,False
2020-12-02 15:00:00,32,50,False
2020-12-02 16:00:00,36,57,False
2020-12-02 17:00:00,22,47,False
2020-12-02 18:00:00,28,49,False
2020-12-02 19:00:00,35,61,False
2020-12-02 20:00:00,24,58,False
2020-12-02 21:00:00,34,60,False
2020-12-02 22:00:00,33,73,False
2020-12-02 23:00:00,18,72,False
2020-12-03 00:00:00,16,61,False
2020-12-03 01:00:00,25,55,False
2020-12-03 02:00:00,38,42,False
2020-12-03 03:00:00,24,65,False
2020-12-03 04:00:00,43,53,False
2020-12-03 05:00:00,19,61,False
2020-12-03 06:00:00,41,56,False
2020-12-03 07:00:00,33,45,False
2020-12-03 08:00:00,23,67,False
2020-12-03 09:00:00,23,43,False
2020-12-03 10:00:00,32,58,False
2020-12-03 11:00:00,35,65,False
2020-12-03 12:00:00,35,77,False
2020-12-03 13:00:00,28,46,False
2020-12-03 14:00:00,24,56,False
2020-12-03 15:00:00,28,52,False
2020-12-03 16:00:00,32,54,False
2020-12-03 17:00:00,29,54,False
2020-12-03 18:00:00,31,64,False
2020-12-03 19:00:00,21,48,False
2020-12-03 20:00:00,34,66,False
2020-12-03 21:00:00,30,67,False
2020-12-03 22:00:00,26,67,False
2020-12-03 23:00:00,24,65,False
2020-12-04 00:00:00,31,57,False
2020-12-04 01:00:00,28,68,False
2020-12-04 02:00:00,22,61,False
2020-12-04 03:00:00,32,71,False
2020-12-04 04:00:00,23,49,False
2020-12-04 05:00:00,33,77,False
2020-12-04 06:00:00,27,75,False
2020-12-04 07:00:00,25,55,False
2020-12-04 08:00:00,36,57,False
2020-12-04 09:00:00,22,40,False
2020-12-04 10:00:00,25,60,False
2020-12-04 11:00:00,22,54,False
2020-12-04 12:00:00,26,45,False
2020-12-04 13:00:00,24,43,False
2020-12-04 14:00:00,29,60,False
2020-12-04 15:00:00,23,63,False
2020-12-04 16:00:00,28,49,False
2020-12-04 17:00:00,21,51,False
2020-12-04 18:00:00,25,61,False
2020-12-04 19:00:00,16,48,False
2020-12-04 20:00:00,28,58,False
2020-12-04 21:00:00,24,51,False
2020-12-04 22:00:00,27,45,False
2020-12-04 23:00:00,31,73,False
2020-12-05 00:00:00,30,62,False
2020-12-05 01:00:00,25,48,False
2020-12-05 02:00:00,31,43,False
2020-12-05 03:00:00,21,47,False
2020-12-05 04:00:00,25,68,False
2020-12-05 05:00:00,20,56,False
2020-12-05 06:00:00,28,56,False
2020-12-05 07:00:00,30,51,False
2020-12-05 08:00:00,25,57,False
2020-12-05 09:00:00,33,52,False
2020-12-05 10:00:00,25,49,False
2020-12-05 11:00:00,35,45,False
2020-12-05 12:00:00,36,45,False
2020-12-05 13:00:00,37,46,False
2020-12-05 14:00:00,20,40,False
2020-12-05 15:00:00,24,47,False
2020-12-05 16:00:00,21,39,False
2020-12-05 17:00:00,21,49,False
2020-12-05 18:00:00,22,41,False
2020-12-05 19:00:00,16,43,False
2020-12-05 20:00:00,20,41,False
2020-12-05 21:00:00,19,45,False
2020-12-05 22:00:00,28,40,False
2020-12-05 23:00:00,15,47,False
